name,age,vintage,vol,ml,price
"Chichibu, Original BottlingPeated Single Cask (Ichiro´s Malt) b.2016One of 384 Bottles (Cask 2078)",4,2012,62.60%,700,409 €May 2018
"Chichibu, Original Bottling10th Anniversary (Ichiro´s Malt) b.2018One of 11550 Bottles",,,55.50%,700,208 €June 2019
"Chichibu, Original BottlingZodiac Series (Ichiro´s Malt) b.2017One of 271 Bottles (Cask 1471)",6,2011,61.60%,700,2268 €February 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt)One of 214 Bottles (Cask 640)",,2009,61.60%,700,1495 €October 2018
"Chichibu, Original BottlingParis Edition (Ichiro´s Malt)One of 1357 Bottles",,,57.30%,700,772 €June 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2014One of 275 Bottles (Cask 2640)",4,2010,59.70%,700,638 €August 2018
"Chichibu, Original BottlingMizunara Heads (Ichiro´s Malt)(Cask 1429)",,2011,60.00%,700,803 €December 2018
"Chichibu, Original BottlingFukuoka (Ichiro´s Malt)One of 225 Bottles",,2011,60.20%,700,511 €March 2018
"Chichibu, Original BottlingWine Wood Reserve (Ichiro´s Malt)",,,46.00%,700,103 €May 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt)One of 80 Bottles (Cask 1965)",,2012,62.00%,700,811 €November 2018
"Chichibu, Original Bottling (Ichiro´s Malt) b.2015One of 203 Bottles",6,2009,62.40%,700,635 €December 2016
"Chichibu, Original BottlingMizunara Wood Reserve (Ichiro´s Malt)",,,46.00%,700,198 €June 2019
"Chichibu, Original BottlingLady Jane 40th Anniversary (Ichiro´s Malt)",,,58.60%,700,1420 €June 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2018One of 242 Bottles (Cask 1372)",7,2011,63.00%,700,819 €February 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2018One of 194 Bottles (Cask 5028)",7,2011,60.00%,700,1391 €May 2019
"Chichibu, Original BottlingKusuda Cask (Ichiro´s Malt) b.2017One of 1270 Bottles",6,2011,57.50%,700,926 €June 2019
"Chichibu, Original BottlingRed Wine Cask (Ichiro´s Malt)One of 156 Bottles",,,56.00%,700,956 €April 2019
"Chichibu, Original BottlingGasai (Ichiro´s Malt)",,,59.00%,700,988 €June 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2016One of 210 Bottles (Cask 710)",6,2010,61.30%,700,602 €May 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2014One of 337 Bottles (Cask 706)",4,2010,63.40%,700,520 €June 2018
"Chichibu, Original BottlingThe Peated (Ichiro´s Malt) b.2012One of 5000 Bottles",3,2009,49.00%,700,285 €July 2018
"Chichibu, Original BottlingSingle Cask  (Ichiro´s Malt)(Cask 1718)",,,59.00%,700,616 €September 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2015One of 197 Bottles (Cask 183)",7,2008,62.20%,700,1410 €March 2019
"Chichibu, Original BottlingThe First (Ichiro´s Malt)",3,,59.00%,750,529 €April 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2017One of 298 Bottles (Cask 2652)",7,2010,59.40%,700,468 €April 2018
"Chichibu, Original BottlingPort Pipe (Ichiro´s Malt)One of 618 Bottles (Cask 11367)",,2011,62.40%,750,899 €April 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2014(Cask 188)",6,2008,62.40%,700,648 €October 2018
"Chichibu, Original BottlingThe Floor Malted (Ichiro´s Malt) b.2013(Cask 653)",3,2010,62.00%,700,353 €August 2017
"Chichibu, Original BottlingMalt Whisky (Ichiro´s Malt)One of 313 Bottles (Cask 2626)",,2010,59.20%,700,618 €April 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt)(Cask 877)",,2010,61.50%,700,865 €December 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt)(Cask 422)",,2009,61.80%,700,567 €March 2018
