Index,age,vintage,bottled,avp,size,price,name,bottling,bottler,loc/type,country,name_1,name_2
319,17,1978,1995,57.90%,50,16.65,Aberfeldy,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Aberfeldy,Aberfeldy
320,17,1980,1997,62.00%,700,299.7,Aberfeldy Flora & Fauna,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Aberfeldy,Aberfeldy Flora
321,14,1999,2013,58.40%,700,193.14,Aberfeldy Single Cask (Festival Bottling),"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Aberfeldy,Aberfeldy Single
322,14,2001,2015,51.60%,700,142.08,Aberfeldy Hand Filled,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Aberfeldy,Aberfeldy Hand
346,24,1975,1999,55.40%,700,311.91,Aberfeldy,"The Bottlers, Highlands Single Malt",The Bottlers,Highlands,UK,Aberfeldy,Aberfeldy
347,16,1998,2014,55.20%,700,144.3,Aberfeldy Hand Filled,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Aberfeldy,Aberfeldy Hand
659,,1969,,40.00%,50,9.99,Aberfeldy,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy
660,19,1993,2012,46.00%,700,68.82,Aberfeldy First Cask,"Direct Wines, Highlands Single Malt",Direct Wines,Highlands,UK,Aberfeldy,Aberfeldy First
1381,15,1982,1997,65.30%,700,152.07,Aberfeldy 60.19,"Scotch Malt Whisky Society, Highlands Single Malt",Scotch Malt Whisky Society,Highlands,UK,Aberfeldy,Aberfeldy 60.19
1848,,1966,,40.00%,50,22.2,Aberfeldy,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy
1849,15,1969,1984,40.00%,750,400.71,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
1850,,1974,,40.00%,750,197.58,Aberfeldy Speymalt (Meregalli Import),"Speymalt Whisky Distributors Ltd., Highlands Single Malt",Speymalt Whisky Distributors Ltd.,Highlands,UK,Aberfeldy,Aberfeldy Speymalt
2974,17,1969,1986,40.00%,750,255.3,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
2975,19,1975,1994,56.40%,700,335.22,Aberfeldy 60.10,"Scotch Malt Whisky Society, Highlands Single Malt",Scotch Malt Whisky Society,Highlands,UK,Aberfeldy,Aberfeldy 60.10
2976,22,1978,2000,40.00%,700,129.87,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
2977,,1978,,43.00%,50,24.42,Aberfeldy,"Signatory Vintage, Highlands Single Malt",Signatory Vintage,Highlands,UK,Aberfeldy,Aberfeldy
2978,18,1991,2009,59.60%,700,290.82,Aberfeldy Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Aberfeldy,Aberfeldy Single
4515,20,1978,1998,40.00%,700,102.12,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
4803,10,1989,1999,60.60%,700,193.14,Aberfeldy 60.21,"Scotch Malt Whisky Society, Highlands Single Malt",Scotch Malt Whisky Society,Highlands,UK,Aberfeldy,Aberfeldy 60.21
5256,17,1978,1995,57.90%,700,174.27,Aberfeldy,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Aberfeldy,Aberfeldy
5257,15,1988,2003,43.00%,700,76.59,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
5258,18,1989,2007,43.00%,700,74.37,Aberfeldy Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt",Gordon & MacPhail,Highlands,UK,Aberfeldy,Aberfeldy Connoisseurs
5656,19,1997,2016,55.30%,700,78.81,Aberfeldy Small Batch,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Aberfeldy,Aberfeldy Small
6241,15,1978,1993,40.00%,750,142.08,Aberfeldy (US Import),"Whyte & Whyte Importers Ltd., Highlands Single Malt",Whyte & Whyte Importers Ltd.,Highlands,UK,Aberfeldy,Aberfeldy (US
6444,17,1997,2014,46.00%,700,84.36,Aberfeldy,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Aberfeldy,Aberfeldy
323,17,1999,2016,52.80%,700,248.64,Aberlour Cask Strength (Distillery Exclusive),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Cask
661,8,1965,1973,50.00%,750,271.95,Aberlour,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour
662,18,1998,2016,59.70%,500,145.41,Aberlour Single Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Single
663,15,2000,2015,46.00%,700,59.94,Aberlour,"Malts of Scotland, Speyside Single Malt",Malts of Scotland,Speyside,UK,Aberlour,Aberlour
762,19,1970,1989,46.00%,700,284.16,Aberlour,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Aberlour,Aberlour
763,19,1974,1993,46.00%,700,180.93,Aberlour First Cask,"Direct Wines, Speyside Single Malt",Direct Wines,Speyside,UK,Aberlour,Aberlour First
764,21,1974,1995,55.50%,700,333,Aberlour,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Aberlour,Aberlour
765,23,1989,2012,54.90%,700,128.76,Aberlour,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Aberlour,Aberlour
766,25,1990,2015,51.40%,700,136.53,Aberlour Small Batch,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Aberlour,Aberlour Small
767,25,1990,2015,51.40%,700,136.53,Aberlour Small Batch,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Aberlour,Aberlour Small
1382,8,1964,1972,50.00%,750,337.44,Aberlour Glenlivet,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Glenlivet
1383,18,1989,2007,52.80%,750,138.75,Aberlour Scott´s Selection (US Import),"Robert Scott & Co, Speyside Single Malt",Robert Scott & Co,Speyside,UK,Aberlour,Aberlour Scott´s
1384,10,1989,1999,40.00%,700,74.37,Aberlour Scottish Millennium Celebrations,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Scottish
1851,23,1963,1986,46.00%,750,438.45,Aberlour,"Moncreiffe & Co., Speyside Single Malt",Moncreiffe & Co.,Speyside,UK,Aberlour,Aberlour
2446,12,1994,2006,45.00%,700,143.19,Aberlour Coilltean (Italian Import),"Samaroli, Speyside Single Malt",Samaroli,Speyside,UK,Aberlour,Aberlour Coilltean
2447,21,1995,2016,51.50%,700,109.89,Aberlour Old Particular,"Douglas Laing, Speyside Single Malt",Douglas Laing,Speyside,UK,Aberlour,Aberlour Old
2979,27,1963,1990,55.20%,50,25.53,Aberlour,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Aberlour,Aberlour
2980,19,1970,1989,46.00%,50,17.76,Aberlour,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Aberlour,Aberlour
2981,22,1989,2011,49.80%,700,91.02,Aberlour Scott´s Selection,"Robert Scott & Co, Speyside Single Malt",Robert Scott & Co,Speyside,UK,Aberlour,Aberlour Scott´s
2982,10,1990,2000,43.00%,750,88.8,Aberlour Sherry Cask,"Blackadder, Speyside Single Malt",Blackadder,Speyside,UK,Aberlour,Aberlour Sherry
2983,20,1996,2016,56.00%,700,109.89,Aberlour Single Cask,"The Whiskyfind, Speyside Single Malt",The Whiskyfind,Speyside,UK,Aberlour,Aberlour Single
2984,17,1997,2014,50.20%,500,115.44,Aberlour Reserve Collection (Cask Strength),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Reserve
4244,21,1970,1991,43.00%,750,400.71,Aberlour,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour
4245,,1989,,40.00%,700,64.38,Aberlour Private Vintage (A&B Wlding Services),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Private
4516,25,1964,1989,43.00%,750,675.99,Aberlour,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour
4517,25,1989,2014,48.70%,500,195.36,Aberlour Reserve Collection,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Reserve
4518,16,1989,2005,53.80%,700,83.25,Aberlour Scott´s Selection,"Robert Scott & Co, Speyside Single Malt",Robert Scott & Co,Speyside,UK,Aberlour,Aberlour Scott´s
5259,19,1970,1989,46.00%,750,178.71,Aberlour,"Dun Eideann, Speyside Single Malt",Dun Eideann,Speyside,UK,Aberlour,Aberlour
5260,12,1995,2007,46.00%,700,43.29,Aberlour The NC2 Range,"Duncan Taylor, Speyside Single Malt",Duncan Taylor,Speyside,UK,Aberlour,Aberlour The
5657,21,1958,1979,40.00%,700,1080.03,Aberlour Centenary Decanter,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Aberlour,Aberlour Centenary
5985,8,1965,1973,50.00%,750,388.5,Aberlour Glenlivet,"Campbell Distillers Ltd., Speyside Single Malt",Campbell Distillers Ltd.,Speyside,UK,Aberlour,Aberlour Glenlivet
6445,26,1990,2016,50.30%,700,643.8,Aberlour,"Lombard, Speyside Single Malt",Lombard,Speyside,UK,Aberlour,Aberlour
324,14,1979,1993,58.00%,700,421.8,Allt-a-Bhainne 108.1,"Scotch Malt Whisky Society, Speyside Single Malt",Scotch Malt Whisky Society,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne 108.1
1375,,1980,,60.50%,700,257.52,Allt-a-Bhainne Cask Strength,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne Cask
2448,12,1981,1993,57.10%,50,24.42,Allt-a-Bhainne,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne
2985,9,1980,1989,59.40%,700,88.8,Allt-a-Bhainne Authentic Collection,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne Authentic
3604,15,2000,2015,44.30%,700,83.25,Allt-a-Bhainne Old Particular,"Douglas Laing, Speyside Single Malt",Douglas Laing,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne Old
4246,15,1992,2007,43.00%,700,52.17,Allt-a-Bhainne,"Robert Graham, Speyside Single Malt",Robert Graham,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne
4804,22,1993,2015,51.60%,700,137.64,Allt-a-Bhainne Old Train Line,"Jack Wiebers Whisky World, Speyside Single Malt",Jack Wiebers Whisky World,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne Old
4805,19,1980,1999,43.00%,700,94.35,Allt-a-Bhainne,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne
5658,16,1991,2007,43.00%,700,56.61,Allt-a-Bhainne Connoisseurs Choice,"Gordon & Company, Speyside Single Malt",Gordon & Company,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne Connoisseurs
5986,10,1989,1999,50.00%,700,58.83,Allt-a-Bhainne Millennium,"John Milroy, Speyside Single Malt",John Milroy,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne Millennium
6242,16,1979,1995,59.10%,700,122.1,Allt-a-Bhainne,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne
6243,14,1979,1993,57.80%,700,173.16,Allt-a-Bhainne 108.2,"Scotch Malt Whisky Society, Speyside Single Malt",Scotch Malt Whisky Society,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne 108.2
6793,16,1985,2001,50.00%,700,136.53,Allt-a-Bhainne The Old Malt Cask,"Douglas Laing, Speyside Single Malt",Douglas Laing,Speyside,UK,Allt-a-Bhainne,Allt-a-Bhainne The
2449,39,1975,2014,44.20%,700,458.43,An Cnoc,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,An,An Cnoc
2450,14,2000,2014,46.00%,700,71.04,An Cnoc,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,An,An Cnoc
2986,14,1999,2013,46.00%,700,78.81,An Cnoc,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,An,An Cnoc
3866,9,2008,2017,57.50%,700,113.22,An Cnoc 115.6,"Scotch Malt Whisky Society, Speyside Single Malt",Scotch Malt Whisky Society,Speyside,UK,An,An Cnoc
17,29,1972,2001,48.40%,750,3302.25,Ardbeg The Old Malt Cask (Ardbeggeddon),"Douglas Laing, Islay Single Malt",Douglas Laing,Islay,UK,Ardbeg,Ardbeg The
23,39,1965,2004,42.10%,700,9497.16,Ardbeg,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg
40,23,1974,1997,55.60%,700,2478.63,Ardbeg Provenance (1st Release),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Provenance
67,24,1976,2000,53.20%,700,2533.02,Ardbeg Single Cask (The Ardbeg Committee),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
199,22,1976,1998,56.00%,700,3888.33,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
203,32,1972,2004,48.30%,700,2395.38,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
259,30,1967,1997,49.80%,700,3705.18,Ardbeg,"Signatory Vintage, Islay Single Malt",Signatory Vintage,Islay,UK,Ardbeg,Ardbeg
271,11,1975,1986,43.00%,750,2039.07,Ardbeg,"R. W. Duthie & Co., Islay Single Malt",R. W. Duthie & Co.,Islay,UK,Ardbeg,Ardbeg
304,24,1980,2004,57.60%,700,874.68,Ardbeg Kildalton,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Kildalton
325,19,1974,1993,46.00%,700,574.98,Ardbeg First Cask,"Direct Wines, Islay Single Malt",Direct Wines,Islay,UK,Ardbeg,Ardbeg First
326,26,1975,2001,43.00%,700,601.62,Ardbeg,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg
327,25,1975,2000,43.00%,700,611.61,Ardbeg,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg
328,25,1976,2001,46.00%,700,644.91,Ardbeg,"Silver Seal, Islay Single Malt",Silver Seal,Islay,UK,Ardbeg,Ardbeg
329,20,1978,1998,43.00%,700,511.71,Ardbeg,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg
330,16,1990,2006,46.00%,700,209.79,Ardbeg Airigh Nam Beist,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Airigh
331,13,1993,2006,58.00%,700,112.11,Ardbeg Authentic Collection,"Cadenhead, Islay Single Malt",Cadenhead,Islay,UK,Ardbeg,Ardbeg Authentic
332,6,1997,2003,58.90%,700,482.85,Ardbeg Very Young (Committee Release),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Very
333,11,1998,2009,55.60%,700,667.11,Ardbeg Single Cask (Cask Strength),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
334,9,2007,2016,60.20%,700,218.67,Ardbeg 33.135,"Scotch Malt Whisky Society, Islay Single Malt",Scotch Malt Whisky Society,Islay,UK,Ardbeg,Ardbeg 33.135
335,9,1998,2007,54.10%,700,152.07,Ardbeg Almost There,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Almost
336,13,1999,2012,49.00%,700,184.26,Ardbeg Galileo,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Galileo
337,10,1998,2008,55.90%,700,166.5,Ardbeg Renaissance,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Renaissance
338,8,1998,2006,56.20%,700,154.29,Ardbeg Still Young,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Still
339,6,1998,2004,58.30%,700,352.98,Ardbeg Very Young,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Very
768,13,1972,1985,43.00%,750,1017.87,Ardbeg,"Sestante, Islay Single Malt",Sestante,Islay,UK,Ardbeg,Ardbeg
769,13,1990,2003,55.00%,700,588.3,Ardbeg Cask Strength (Limited Edition),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Cask
770,8,1991,1999,43.00%,760,108.78,Ardbeg,"Signatory Vintage, Islay Single Malt",Signatory Vintage,Islay,UK,Ardbeg,Ardbeg
771,18,1991,2009,50.00%,700,528.36,Ardbeg,"Silver Seal, Islay Single Malt",Silver Seal,Islay,UK,Ardbeg,Ardbeg
772,23,1993,2016,47.70%,700,291.93,Ardbeg,"Cadenhead, Islay Single Malt",Cadenhead,Islay,UK,Ardbeg,Ardbeg
773,20,1993,2013,57.20%,700,248.64,Ardbeg,"Dewar Rattray, Islay Single Malt",Dewar Rattray,Islay,UK,Ardbeg,Ardbeg
774,9,1996,2005,46.00%,700,120.99,Ardbeg Connoisseurs Choice,"Gordon & MacPhail, Islay Single Malt",Gordon & MacPhail,Islay,UK,Ardbeg,Ardbeg Connoisseurs
775,13,1998,2011,55.10%,700,624.93,Ardbeg (Feis Ile 2011),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg (Feis
776,25,2001,,57.40%,700,309.69,Ardbeg,"Silver Seal, Islay Single Malt",Silver Seal,Islay,UK,Ardbeg,Ardbeg
777,4,2002,2006,59.90%,700,695.97,Ardbeg Young Uigeadail (The Ardbeg Committee),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Young
1165,24,1975,1999,43.00%,700,571.65,Ardbeg,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg
1376,13,1965,1978,45.71%,750,1326.45,Ardbeg,"Cadenhead, Islay Single Malt",Cadenhead,Islay,UK,Ardbeg,Ardbeg
1377,24,1965,1989,54.40%,750,2886,Ardbeg,"Cadenhead, Islay Single Malt",Cadenhead,Islay,UK,Ardbeg,Ardbeg
1378,24,1969,,40.00%,700,1176.6,Ardbeg Van Gogh Collection,"Sestante, Islay Single Malt",Sestante,Islay,UK,Ardbeg,Ardbeg Van
1379,18,1972,1990,58.90%,750,2496.39,Ardbeg,"Signatory Vintage, Islay Single Malt",Signatory Vintage,Islay,UK,Ardbeg,Ardbeg
1380,21,1974,1995,51.80%,700,1673.88,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
1385,28,1967,1995,53.20%,50,408.48,Ardbeg (Dark Oloroso Cask),"Signatory Vintage, Islay Single Malt",Signatory Vintage,Islay,UK,Ardbeg,Ardbeg (Dark
1386,28,1972,2000,43.00%,700,835.83,Ardbeg First Bottling,"Silver Seal, Islay Single Malt",Silver Seal,Islay,UK,Ardbeg,Ardbeg First
1387,19,1974,,40.00%,700,882.45,Ardbeg Van Gogh Collection,"Sestante, Islay Single Malt",Sestante,Islay,UK,Ardbeg,Ardbeg Van
1388,10,1978,1988,62.30%,700,783.66,Ardbeg 33.27,"Scotch Malt Whisky Society, Islay Single Malt",Scotch Malt Whisky Society,Islay,UK,Ardbeg,Ardbeg 33.27
1389,18,1990,2008,46.00%,700,217.56,Ardbeg Airigh Nam Beist,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Airigh
1390,15,1991,2006,50.90%,700,210.9,Ardbeg The Old Malt Cask,"Douglas Laing, Islay Single Malt",Douglas Laing,Islay,UK,Ardbeg,Ardbeg The
1391,20,1992,2012,46.60%,700,207.57,Ardbeg,"Whiskybroker.co.uk, Islay Single Malt",Whiskybroker.co.uk,Islay,UK,Ardbeg,Ardbeg
1392,23,1993,2016,52.40%,700,682.65,Ardbeg,"Cadenhead, Islay Single Malt",Cadenhead,Islay,UK,Ardbeg,Ardbeg
1393,14,1994,2008,55.30%,700,142.08,Ardbeg Mission Gold Series,"Murray McDavid, Islay Single Malt",Murray McDavid,Islay,UK,Ardbeg,Ardbeg Mission
1394,10,1994,2004,58.30%,700,220.89,Ardbeg 33.52,"Scotch Malt Whisky Society, Islay Single Malt",Scotch Malt Whisky Society,Islay,UK,Ardbeg,Ardbeg 33.52
1395,10,1998,2008,54.00%,700,715.95,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
1396,10,1999,2009,58.60%,700,648.24,Ardbeg Single Cask (Bourbon Barrel),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
1397,10,2000,2010,53.00%,700,976.8,Ardbeg Single Cask (Lord Robertson),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
1852,32,1967,1999,43.10%,700,2120.1,Ardbeg The Old Malt Cask,"Douglas Laing, Islay Single Malt",Douglas Laing,Islay,UK,Ardbeg,Ardbeg The
1853,31,1972,2004,49.20%,700,2238.87,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
1854,23,1974,1997,51.20%,700,1292.04,Ardbeg,"Signatory Vintage, Islay Single Malt",Signatory Vintage,Islay,UK,Ardbeg,Ardbeg
1855,31,1974,2005,51.70%,700,2429.79,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
1856,23,1975,1998,40.00%,700,430.68,Ardbeg (Meregalli Import),"Gordon & MacPhail, Islay Single Malt",Gordon & MacPhail,Islay,UK,Ardbeg,Ardbeg (Meregalli
1857,31,1975,2006,53.70%,700,2072.37,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
1858,25,1976,2001,50.00%,700,739.26,Ardbeg,"Silver Seal, Islay Single Malt",Silver Seal,Islay,UK,Ardbeg,Ardbeg
1859,,1976,,55.00%,700,2533.02,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
1860,19,1978,1997,43.00%,700,507.27,Ardbeg First Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg First
1861,17,1998,2015,58.40%,700,264.18,Ardbeg,"Malts of Scotland, Islay Single Malt",Malts of Scotland,Islay,UK,Ardbeg,Ardbeg
1862,10,2000,2010,55.90%,700,597.18,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
2451,32,1967,1999,47.50%,700,2156.73,Ardbeg Glenscoma,"Scoma GmbH, Islay Single Malt",Scoma GmbH,Islay,UK,Ardbeg,Ardbeg Glenscoma
2452,18,1974,1992,52.30%,700,1287.6,Ardbeg Barrel Selection,"Wilson & Morgan, Islay Single Malt",Wilson & Morgan,Islay,UK,Ardbeg,Ardbeg Barrel
2453,30,1975,2005,46.10%,700,679.32,Ardbeg Old & Rare,"Douglas Laing, Islay Single Malt",Douglas Laing,Islay,UK,Ardbeg,Ardbeg Old
2454,18,1975,1993,43.00%,50,66.6,Ardbeg,"Signatory Vintage, Islay Single Malt",Signatory Vintage,Islay,UK,Ardbeg,Ardbeg
2455,17,1976,1993,53.20%,700,885.78,Ardbeg,"Samaroli, Islay Single Malt",Samaroli,Islay,UK,Ardbeg,Ardbeg
2456,21,1979,2000,40.00%,700,693.75,Ardbeg (Meregalli Import),"Gordon & MacPhail, Islay Single Malt",Gordon & MacPhail,Islay,UK,Ardbeg,Ardbeg (Meregalli
2457,21,1993,2014,53.20%,700,250.86,Ardbeg Authentic Collection,"Cadenhead, Islay Single Malt",Cadenhead,Islay,UK,Ardbeg,Ardbeg Authentic
2458,7,2000,2007,55.30%,700,179.82,Ardbeg Old Train Line,"Jack Wiebers Whisky World, Islay Single Malt",Jack Wiebers Whisky World,Islay,UK,Ardbeg,Ardbeg Old
2987,15,1963,1978,45.71%,750,1646.13,Ardbeg,"Cadenhead, Islay Single Malt",Cadenhead,Islay,UK,Ardbeg,Ardbeg
2988,15,1973,1988,53.40%,750,1386.39,Ardbeg,"Sestante, Islay Single Malt",Sestante,Islay,UK,Ardbeg,Ardbeg
2989,,1974,,40.00%,50,53.28,Ardbeg Connoisseurs Choice,"Gordon & MacPhail, Islay Single Malt",Gordon & MacPhail,Islay,UK,Ardbeg,Ardbeg Connoisseurs
2990,17,1974,1991,43.00%,50,68.82,Ardbeg,"Signatory Vintage, Islay Single Malt",Signatory Vintage,Islay,UK,Ardbeg,Ardbeg
2991,26,1974,2000,46.00%,700,603.84,Ardbeg First Bottling,"Silver Seal, Islay Single Malt",Silver Seal,Islay,UK,Ardbeg,Ardbeg First
2992,32,1974,2006,52.50%,700,2820.51,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
2993,15,1975,1990,46.00%,50,42.18,Ardbeg,"Cadenhead, Islay Single Malt",Cadenhead,Islay,UK,Ardbeg,Ardbeg
2994,,1976,,40.00%,50,35.52,Ardbeg Connoisseurs Choice,"Gordon & MacPhail, Islay Single Malt",Gordon & MacPhail,Islay,UK,Ardbeg,Ardbeg Connoisseurs
2995,25,1976,2001,50.00%,700,768.12,Ardbeg First Bottling,"Silver Seal, Islay Single Malt",Silver Seal,Islay,UK,Ardbeg,Ardbeg First
2996,21,1978,1999,43.00%,700,481.74,Ardbeg,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg
2997,15,1991,2006,50.00%,700,145.41,Ardbeg The Old Malt Cask,"Douglas Laing, Islay Single Malt",Douglas Laing,Islay,UK,Ardbeg,Ardbeg The
2998,12,1974,1986,46.00%,700,355.2,Ardbeg,"Silver Seal, Islay Single Malt",Silver Seal,Islay,UK,Ardbeg,Ardbeg
2999,10,1993,2003,50.00%,700,162.06,Ardbeg The Old Malt Cask,"Douglas Laing, Islay Single Malt",Douglas Laing,Islay,UK,Ardbeg,Ardbeg The
3000,11,1993,2004,40.00%,700,239.76,Ardbeg Connoisseurs Choice,"Gordon & MacPhail, Islay Single Malt",Gordon & MacPhail,Islay,UK,Ardbeg,Ardbeg Connoisseurs
3001,22,1993,2015,52.80%,700,219.78,Ardbeg,"Hart Brothers, Islay Single Malt",Hart Brothers,Islay,UK,Ardbeg,Ardbeg
3002,23,1994,2017,56.00%,700,359.64,Ardbeg Single Cask,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
3003,17,1998,2015,56.90%,700,279.72,Ardbeg,"Malts of Scotland, Islay Single Malt",Malts of Scotland,Islay,UK,Ardbeg,Ardbeg
