age,vintage,bottled,avp,size,price,name,bottling,bottler,loc/type,country,name_1,name_2
44.0,1969.0,2013.0,42.90%,750,4565.43,Glenrothes Extraordinary Single Cask (Second Release),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Glenrothes,Glenrothes Extraordinary
33.0,1937.0,1970.0,43.00%,750,4703.0700000000015,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan
,1957.0,,45.71%,750,4430.01,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan
30.0,1939.0,1969.0,43.00%,750,3862.8,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan
23.0,1974.0,1997.0,55.60%,700,2478.63,Ardbeg Provenance (1st Release),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Provenance
,1964.0,,42.86%,757,2498.61,Bowmore Bicentenary,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Bowmore,Bowmore Bicentenary
,1960.0,,45.71%,750,4000.4400000000014,Macallan,"Campbell, Hope & King, Speyside Single Malt",Campbell,Hope,UK,Macallan,Macallan
27.0,1984.0,2011.0,57.70%,700,3529.8,Karuizawa Single Cask,"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Karuizawa,Karuizawa Single
27.0,1980.0,2007.0,57.40%,700,2807.19,Laphroaig,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Laphroaig,Laphroaig
13.0,1997.0,2010.0,52.30%,700,1397.4900000000002,Macallan Easter Elchie,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan Easter
14.0,1997.0,2011.0,59.70%,700,1941.39,Macallan Easter Elchie,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan Easter
30.0,1950.0,1980.0,46.00%,750,4211.34,Springbank,"Cadenhead, Campbeltown Single Malt",Cadenhead,Campbeltown,UK,Springbank,Springbank
31.0,1981.0,2012.0,58.90%,700,3241.200000000001,Karuizawa Noh Single Cask,"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Karuizawa,Karuizawa Noh
18.0,1968.0,1986.0,43.00%,750,2060.1600000000008,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan
19.0,1962.0,1981.0,45.71%,750,3315.57,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan
18.0,1980.0,1998.0,40.00%,700,2198.9100000000008,Macallan Gran Reserva,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan Gran
13.0,1999.0,2012.0,57.20%,700,1649.46,Macallan Easter Elchie,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan Easter
18.0,1967.0,1985.0,43.00%,750,1848.15,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan
35.0,1941.0,1976.0,43.00%,750,3641.91,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan
,1984.0,,56.80%,700,2478.63,Karuizawa Single Cask,"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Karuizawa,Karuizawa Single
29.0,1971.0,2000.0,50.00%,700,2960.3700000000013,Brora The Old Malt Cask,"Douglas Laing, Highlands Single Malt",Douglas Laing,Highlands,UK,Brora,Brora The
30.0,1984.0,2014.0,58.50%,700,2264.4,Karuizawa Single Cask,"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Karuizawa,Karuizawa Single
25.0,1949.0,1974.0,43.00%,750,2379.84,Macallan (Pinerolo),"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan (Pinerolo)
25.0,1962.0,1987.0,43.00%,750,2731.71,Macallan Anniversary Malt,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan Anniversary
22.0,1979.0,2001.0,56.20%,700,2410.92,Port Ellen 1st Annual Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Port,Port Ellen
26.0,1990.0,2016.0,52.90%,700,2771.67,Balvenie DCS Compendium (Chapter 2),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie DCS
56.0,1950.0,2006.0,43.00%,700,3599.7300000000005,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan Speymalt
32.0,1968.0,2000.0,50.80%,700,2978.13,Balvenie Vintage Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Vintage
,1974.0,,52.60%,750,1546.2300000000002,Highland Park Online Tasting,"Original Bottling, Islands Single Malt",Original Bottling,Islands,UK,Highland,Highland Park
14.0,1989.0,2003.0,59.20%,500,1774.89,Macallan Cask Strength,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan Cask
