Day,Precipitation,Min Temperature,Max Temperature,id
1/1/1973,0,4,12,UKM00003066
1/2/1973,1,Null,12,UKM00003066
1/3/1973,0,0,6,UKM00003066
1/4/1973,Null,Null,10,UKM00003066
1/5/1973,0,Null,5,UKM00003066
1/6/1973,0,-2,3,UKM00003066
1/7/1973,0,-3,5,UKM00003066
1/8/1973,0,-4,5,UKM00003066
1/9/1973,0,3,8,UKM00003066
1/10/1973,0,Null,Null,UKM00003066
1/11/1973,0,Null,7,UKM00003066
1/12/1973,0,-3,5,UKM00003066
1/13/1973,0,-3,5,UKM00003066
1/14/1973,0.3,-3,7,UKM00003066
1/15/1973,0,3,8,UKM00003066
1/16/1973,0.5,Null,7,UKM00003066
1/17/1973,0,Null,5,UKM00003066
1/18/1973,0,-3,7,UKM00003066
1/19/1973,0,Null,5,UKM00003066
1/20/1973,0,Null,5,UKM00003066
1/21/1973,3,1,5,UKM00003066
1/22/1973,2,Null,7,UKM00003066
1/23/1973,4.1,3,Null,UKM00003066
1/24/1973,0,9,12,UKM00003066
1/25/1973,0,Null,11,UKM00003066
1/26/1973,1,3,9,UKM00003066
1/27/1973,0,Null,Null,UKM00003066
1/28/1973,0,-3,11,UKM00003066
1/29/1973,0,6,11,UKM00003066
1/30/1973,0.5,Null,Null,UKM00003066
1/31/1973,0,2,7,UKM00003066
2/1/1973,0,3,8,UKM00003066
2/2/1973,0,7,10,UKM00003066
2/3/1973,0,6,10,UKM00003066
2/4/1973,0,Null,11,UKM00003066
2/5/1973,2,3,Null,UKM00003066
2/6/1973,1,5,11,UKM00003066
2/7/1973,1.3,3,6,UKM00003066
2/8/1973,0,Null,7,UKM00003066
2/9/1973,0,-2,5,UKM00003066
2/10/1973,6.1,0,5,UKM00003066
2/11/1973,0,2,10,UKM00003066
2/12/1973,3,Null,Null,UKM00003066
2/13/1973,Null,Null,1,UKM00003066
2/14/1973,Null,Null,0,UKM00003066
2/15/1973,0,-9,2,UKM00003066
2/16/1973,0,-8,5,UKM00003066
2/17/1973,0.3,-2,5,UKM00003066
2/18/1973,0,1,8,UKM00003066
2/19/1973,0,7,13,UKM00003066
2/20/1973,0,9,13,UKM00003066
