Day,Precipitation,Min Temperature,Max Temperature,id
5/29/1973,0,9,15,UKM00003017
5/30/1973,0,9,12,UKM00003017
5/31/1973,3,Null,11,UKM00003017
6/1/1973,1,4,12,UKM00003017
6/2/1973,4.1,6,12,UKM00003017
6/3/1973,3,Null,13,UKM00003017
6/4/1973,0,4,13,UKM00003017
6/5/1973,0.5,7,13,UKM00003017
6/6/1973,0,11,18,UKM00003017
6/7/1973,0,9,19,UKM00003017
6/8/1973,1,Null,14,UKM00003017
6/9/1973,7.9,8,12,UKM00003017
6/10/1973,0.5,5,11,UKM00003017
6/11/1973,4.1,5,Null,UKM00003017
6/12/1973,16,7,14,UKM00003017
6/13/1973,Null,6,Null,UKM00003017
6/14/1973,2,4,12,UKM00003017
6/15/1973,0.5,8,16,UKM00003017
6/16/1973,0.3,10,14,UKM00003017
6/17/1973,5.1,10,15,UKM00003017
6/18/1973,0.8,10,15,UKM00003017
6/19/1973,4.1,11,16,UKM00003017
6/20/1973,0,Null,13,UKM00003017
6/21/1973,Null,Null,15,UKM00003017
6/22/1973,0.3,9,18,UKM00003017
6/23/1973,0.5,Null,16,UKM00003017
6/24/1973,0,8,17,UKM00003017
6/25/1973,0,10,15,UKM00003017
6/26/1973,0,9,15,UKM00003017
6/27/1973,0,8,16,UKM00003017
6/28/1973,0,7,17,UKM00003017
6/29/1973,3,10,15,UKM00003017
6/30/1973,0,11,19,UKM00003017
7/1/1973,1.5,12,15,UKM00003017
7/2/1973,7.9,11,17,UKM00003017
7/3/1973,0.3,10,18,UKM00003017
7/4/1973,0,10,Null,UKM00003017
7/5/1973,0,10,15,UKM00003017
7/6/1973,0,Null,13,UKM00003017
7/7/1973,Null,Null,14,UKM00003017
7/8/1973,0,6,15,UKM00003017
7/9/1973,0,7,16,UKM00003017
7/10/1973,0,12,16,UKM00003017
7/11/1973,0,12,15,UKM00003017
7/12/1973,0.3,11,15,UKM00003017
7/13/1973,5.1,12,15,UKM00003017
7/14/1973,6.1,11,16,UKM00003017
7/15/1973,0,11,18,UKM00003017
7/16/1973,0,11,16,UKM00003017
7/17/1973,0,11,13,UKM00003017
7/18/1973,1,9,12,UKM00003017
7/19/1973,1,9,12,UKM00003017
