0,1,2,3,4,5,6,7,8,9
13,1997,2010,52.30%,700 ml,432,NA,1259 €,Macallan Easter Elchie,"Original Bottling, Speyside Single Malt"
14,1997,2011,59.70%,700 ml,16946,550,1749 €,Macallan Easter Elchie,"Original Bottling, Speyside Single Malt"
30,1950,1980,46.00%,750 ml,NA,NA,3794 €,Springbank,"Cadenhead, Campbeltown Single Malt"
31,1981,2012,58.90%,700 ml,348,207,2920 €,Karuizawa Noh Single Cask,"Original Bottling, Japan Single Malt"
18,1968,1986,43.00%,750 ml,NA,NA,1856 €,Macallan,"Original Bottling, Speyside Single Malt"
19,1962,1981,45.71%,750 ml,NA,NA,2987 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1980,1998,40.00%,700 ml,NA,NA,1981 €,Macallan Gran Reserva,"Original Bottling, Speyside Single Malt"
13,1999,2012,57.20%,700 ml,6697,390,1486 €,Macallan Easter Elchie,"Original Bottling, Speyside Single Malt"
40,NA,2002,45.40%,700 ml,NA,600,3138 €,Glenfiddich Rare Collection,"Original Bottling, Speyside Single Malt"
18,1967,1985,43.00%,750 ml,NA,NA,1665 €,Macallan,"Original Bottling, Speyside Single Malt"
NA,NA,2011,43.00%,750 ml,NA,NA,3597 €,Macallan Royal Marriage 2011,"Original Bottling, Speyside Single Malt"
35,1941,1976,43.00%,750 ml,NA,NA,3281 €,Macallan,"Gordon & MacPhail, Speyside Single Malt"
NA,1984,NA,56.80%,700 ml,3663,NA,2233 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
29,1971,2000,50.00%,700 ml,NA,258,2667 €,Brora The Old Malt Cask,"Douglas Laing, Highlands Single Malt"
30,1984,2014,58.50%,700 ml,8173,363,2040 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
25,1949,1974,43.00%,750 ml,NA,NA,2144 €,Macallan (Pinerolo),"Gordon & MacPhail, Speyside Single Malt"
25,1962,1987,43.00%,750 ml,NA,NA,2461 €,Macallan Anniversary Malt,"Original Bottling, Speyside Single Malt"
22,1979,2001,56.20%,700 ml,NA,6000,2172 €,Port Ellen 1st Annual Release,"Original Bottling, Islay Single Malt"
26,1990,2016,52.90%,700 ml,7359,139,2497 €,Balvenie DCS Compendium (Chapter 2),"Original Bottling, Speyside Single Malt"
56,1950,2006,43.00%,700 ml,NA,NA,3243 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
32,1968,2000,50.80%,700 ml,7296,180,2683 €,Balvenie Vintage Cask,"Original Bottling, Speyside Single Malt"
NA,1974,NA,52.60%,750 ml,NA,528,1393 €,Highland Park Online Tasting,"Original Bottling, Islands Single Malt"
14,1989,2003,59.20%,500 ml,552,NA,1599 €,Macallan Cask Strength,"Original Bottling, Speyside Single Malt"
25,NA,NA,43.00%,700 ml,NA,NA,1564 €,Macallan Anniversary Malt,"Original Bottling, Speyside Single Malt"
32,1968,2000,50.80%,700 ml,7294,180,2310 €,Balvenie Vintage Cask,"Original Bottling, Speyside Single Malt"
24,1976,2000,53.20%,700 ml,2394,466,2282 €,Ardbeg Single Cask (The Ardbeg Committee),"Original Bottling, Islay Single Malt"
32,1968,2000,45.50%,700 ml,NA,1860,1943 €,Bowmore,"Original Bottling, Islay Single Malt"
