0,1,2,3,4,5,6,7,8,9
8,NA,NA,40.00%,750 ml,NA,NA,2068 €,Bowmore Sherriffs (1970s),"Original Bottling, Islay Single Malt"
24,1977,2001,56.10%,700 ml,NA,NA,762 €,Brora Rare Malts,"Original Bottling, Highlands Single Malt"
30,NA,NA,43.00%,700 ml,29,NA,576 €,Glenfiddich Silver Stag´s Head,"Original Bottling, Speyside Single Malt"
20,1978,1998,60.90%,700 ml,NA,NA,737 €,Port Ellen Rare Malts,"Original Bottling, Islay Single Malt"
NA,NA,NA,60.50%,700 ml,NA,NA,1222 €,Karuizawa Fugaku Sanjurokkei (3rd Edition),"Original Bottling, Japan Single Malt"
4,2011,2015,61.90%,700 ml,1371,NA,921 €,Chichibu Madeira Cask (Ichiro´s Malt),"Original Bottling, Japan Single Malt"
20,1985,2005,55.00%,720 ml,9308,122,15543 €,Hanyu Ace of Spades (First Release),"Original Bottling, Japan Single Malt"
45,1964,2009,45.00%,700 ml,NA,200,15400 €,Dalmore Aurora (Oloroso Cask),"Original Bottling, Highlands Single Malt"
24,1985,2009,54.90%,700 ml,NA,241,13779 €,Hanyu Joker Monochrome (Ichiro´s Malt Card),"Original Bottling, Japan Single Malt"
40,NA,2016,45.00%,700 ml,NA,500,12517 €,Macallan 2016 Release,"Original Bottling, Speyside Single Malt"
21,1985,2006,55.70%,700 ml,9308,300,10624 €,Hanyu Ace of Spades (Ichiro´s Malt Card),"Original Bottling, Japan Single Malt"
16,1990,2006,54.00%,700 ml,9102,324,4875 €,Hanyu Queen of Hearts (Ichiro´s Malt Card),"Original Bottling, Japan Single Malt"
NA,1971,NA,59.60%,750 ml,NA,2280,5477 €,Glen Garioch Full Proof (Sherry Wood),"Samaroli, Highlands Single Malt"
41,1971,2012,63.70%,700 ml,1842,82,8446 €,Karuizawa Noh Single Cask,"Original Bottling, Japan Single Malt"
NA,NA,NA,47.00%,700 ml,NA,50,8280 €,Macallan Golden Jubilee (Blue Decanter),"Original Bottling, Speyside Single Malt"
35,NA,2015,57.40%,700 ml,5244,166,5798 €,Karuizawa Single Cask (Aqua of Life),"Original Bottling, Japan Single Malt"
40,NA,2014,57.40%,750 ml,6114,309,6839 €,Karuizawa Single Cask (Aqua of Life),"Original Bottling, Japan Single Malt"
30,NA,1980,43.00%,750 ml,NA,NA,4186 €,Glenfiddich Silver Stag´s Head,"Original Bottling, Speyside Single Malt"
25,1958,1983,43.00%,750 ml,NA,NA,3734 €,Macallan Anniversary Malt,"Original Bottling, Speyside Single Malt"
31,NA,NA,59.40%,700 ml,3667,225,6846 €,Karuizawa Sherry Cask (Golden Geisha),"Original Bottling, Japan Single Malt"
NA,1937,NA,40.00%,750 ml,NA,NA,3888 €,Macallan,"Gordon & MacPhail, Speyside Single Malt"
NA,NA,NA,48.80%,700 ml,NA,720,4595 €,Macallan Cask 888,"Original Bottling, Speyside Single Malt"
13,1937,1950,57.14%,750 ml,NA,NA,4322 €,Glenlivet 100 Proof,"Gordon & MacPhail, Speyside Single Malt"
13,1937,1950,45.71%,750 ml,NA,NA,4228 €,Glenlivet 80 Proof,"Gordon & MacPhail, Speyside Single Malt"
NA,1958,NA,45.71%,750 ml,NA,NA,3207 €,Macallan,"Campbell, Hope & King, Speyside Single Malt"
25,1984,2009,48.00%,700 ml,NA,NA,4615 €,Yamazaki,"Original Bottling, Japan Single Malt"
31,1981,2012,60.60%,700 ml,3555,NA,4454 €,Karuizawa Geisha Label,"Original Bottling, Japan Single Malt"
18,1964,1982,43.00%,750 ml,NA,NA,2123 €,Macallan,"Original Bottling, Speyside Single Malt"
22,1976,1998,56.00%,700 ml,2391,497,3503 €,Ardbeg Single Cask,"Original Bottling, Islay Single Malt"
59,1950,2009,43.00%,700 ml,NA,NA,3196 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
17,1965,1982,43.00%,750 ml,NA,NA,2726 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1965,1983,43.00%,750 ml,NA,NA,2736 €,Macallan,"Original Bottling, Speyside Single Malt"
32,1972,2004,48.30%,700 ml,866,239,2158 €,Ardbeg Single Cask,"Original Bottling, Islay Single Malt"
35,1980,2015,61.60%,700 ml,NA,NA,3379 €,Karuizawa Golden Samurai,"Original Bottling, Japan Single Malt"
40,NA,2008,45.40%,700 ml,NA,600,2626 €,Glenfiddich Rare Collection,"Original Bottling, Speyside Single Malt"
30,1984,2014,58.20%,700 ml,2030,522,3041 €,Karuizawa Noh Single Cask,"Original Bottling, Japan Single Malt"
30,NA,NA,60.60%,700 ml,3619,282,3947 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
35,1979,2014,58.80%,700 ml,8187,NA,2598 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
NA,1937,NA,40.00%,750 ml,NA,NA,3469 €,Macallan,"Gordon & MacPhail, Speyside Single Malt"
30,NA,NA,43.00%,700 ml,NA,NA,2513 €,Macallan Sherry Oak,"Original Bottling, Speyside Single Malt"
12,1993,2005,55.70%,750 ml,1946,247,1165 €,Glenmorangie Swampt Oak,"Original Bottling, Highlands Single Malt"
21,NA,1998,58.40%,700 ml,NA,NA,3324 €,Port Ellen 25th Anniversary,"Original Bottling, Islay Single Malt"
14,NA,NA,46.00%,750 ml,NA,NA,1796 €,Longrow (Old Style),"Original Bottling, Campbeltown Single Malt"
32,1983,2015,53.90%,750 ml,NA,2964,2196 €,Port Ellen 15th Annual Release,"Original Bottling, Islay Single Malt"
25,1967,1992,54.40%,700 ml,4393,220,1838 €,Rosebank,"Signatory Vintage, Lowlands Single Malt"
11,1994,2005,61.00%,700 ml,2221,204,1853 €,Karuizawa Single Cask,"Full Proof Europe, Japan Single Malt"
17,1981,1998,56.00%,500 ml,9780,NA,2027 €,Macallan Exceptional Cask (First Release),"Original Bottling, Speyside Single Malt"
15,NA,NA,45.71%,750 ml,NA,NA,1793 €,Glenlivet 80 Proof,"Gordon & MacPhail, Speyside Single Malt"
17,1974,1991,61.10%,750 ml,NA,3000,2004 €,Caol Ila,"Signatory Vintage, Islay Single Malt"
20,1965,1985,49.10%,750 ml,NA,NA,4349 €,Bowmore,"Sestante, Islay Single Malt"
13,2000,2013,59.50%,700 ml,1302,299,1219 €,Hanyu The Game (Ichiro´s Malt),"Original Bottling, Japan Single Malt"
NA,1959,NA,43.00%,750 ml,NA,NA,1444 €,Glenlivet Vintage (Bottled in the 1980s),"Original Bottling, Speyside Single Malt"
NA,NA,NA,42.86%,750 ml,NA,NA,1866 €,Highland Park St Magnus Label,"Original Bottling, Islands Single Malt"
NA,NA,NA,46.80%,700 ml,NA,1000,1904 €,Macallan Royal Wedding 2011,"Original Bottling, Speyside Single Malt"
31,1980,2011,56.40%,700 ml,6568,NA,1764 €,Karuizawa Single Cask (Taiwan Exclusive),"Original Bottling, Japan Single Malt"
22,1994,2016,62.30%,700 ml,7640,435,1935 €,Karuizawa Noh Single Cask,"Original Bottling, Japan Single Malt"
27,1984,2011,59.60%,700 ml,3660,NA,2288 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
15,1993,2008,60.00%,700 ml,3c40792,509,1749 €,Hakushu The Cask of Hakushu,"Original Bottling, Japan Single Malt"
21,1988,2009,55.60%,700 ml,9306,625,1132 €,Hanyu Noh Single Cask (Spanish Oak),"Original Bottling, Japan Single Malt"
32,1964,1996,40.00%,700 ml,NA,NA,1020 €,Littlemill,"Original Bottling, Lowlands Single Malt"
37,1972,2009,54.80%,700 ml,719,474,1153 €,Glendronach Single Cask,"Original Bottling, Highlands Single Malt"
NA,NA,2009,48.00%,700 ml,NA,NA,1615 €,Yamazaki Sherry Cask 2009,"Original Bottling, Japan Single Malt"
NA,1957,NA,46.20%,435 ml,NA,NA,1649 €,Talisker,"Cadenhead, Islands Single Malt"
16,1974,1990,46.00%,750 ml,NA,NA,1241 €,Longrow,"Original Bottling, Campbeltown Single Malt"
19,1990,2009,53.00%,700 ml,9305,200,1676 €,Hanyu The Wave,"Original Bottling, Japan Single Malt"
NA,1964,NA,46.00%,750 ml,NA,NA,1346 €,Glen Ord Caves Fauchon,"Original Bottling, Highlands Single Malt"
26,1985,2012,53.30%,700 ml,1036,504,634 €,Glendronach Trump,"Original Bottling, Highlands Single Malt"
23,1985,2008,58.00%,700 ml,NA,NA,1447 €,Hanyu Cask Strength (Ichiro´s Malt),"Original Bottling, Japan Single Malt"
12,2000,2012,57.50%,700 ml,360,309,1418 €,Hanyu The Game,"Original Bottling, Japan Single Malt"
25,1969,1994,43.00%,700 ml,NA,NA,852 €,Bowmore,"Original Bottling, Islay Single Malt"
17,2000,2017,62.30%,700 ml,545,417,1631 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
36,1970,2006,53.10%,700 ml,1629,461,1194 €,Springbank,"Signatory Vintage, Campbeltown Single Malt"
51,1951,2002,52.30%,50 ml,644,NA,1477 €,Macallan Fine and Rare,"Original Bottling, Speyside Single Malt"
NA,1999,NA,60.60%,700 ml,7436,484,1755 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
NA,NA,2013,48.00%,700 ml,NA,NA,1146 €,Yamazaki Mizunara Cask 2013,"Original Bottling, Japan Single Malt"
34,1978,2012,55.00%,700 ml,NA,2958,1926 €,Port Ellen 13th Annual Release,"Original Bottling, Islay Single Malt"
30,NA,2004,56.60%,700 ml,NA,3000,1037 €,Brora 2004 Release,"Original Bottling, Highlands Single Malt"
12,2000,2012,59.00%,700 ml,9805,232,1786 €,Hanyu The Game,"Shinanoya, Japan Single Malt"
NA,1973,NA,43.00%,750 ml,NA,700,1507 €,Bowmore,"Original Bottling, Islay Single Malt"
8,NA,NA,40.00%,750 ml,NA,NA,566 €,Glenfarclas SecuRo Cap,"Original Bottling, Speyside Single Malt"
13,NA,2012,61.60%,700 ml,2565,NA,918 €,Karuizawa 1999/2000,"Original Bottling, Japan Single Malt"
16,2000,2016,63.80%,700 ml,8123,401,1647 €,Karuizawa Single Sherry Cask (Rising Sun),"Original Bottling, Japan Single Malt"
21,1982,2003,40.00%,1500 ml,NA,60,1517 €,Port Ellen (Magnum),"Silver Seal, Islay Single Malt"
12,1994,2006,61.00%,700 ml,2221,505,1180 €,Karuizawa Single Cask (Ichiro´s Choice),"Original Bottling, Japan Single Malt"
NA,NA,2012,61.70%,700 ml,7698,2000,886 €,Karuizawa 1999/2000,"Original Bottling, Japan Single Malt"
15,2000,2015,60.00%,700 ml,955,NA,1252 €,Hanyu Single Cask (Ichiro´s Malt),"Original Bottling, Japan Single Malt"
18,1982,2000,43.00%,700 ml,NA,NA,938 €,Macallan,"Original Bottling, Speyside Single Malt"
22,1972,1994,58.70%,700 ml,NA,NA,4217 €,Brora Rare Malts,"Original Bottling, Highlands Single Malt"
42,1969,2011,61.30%,700 ml,8183,NA,4369 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
22,1964,1986,43.00%,750 ml,NA,NA,3864 €,Bowmore,"R. W. Duthie & Co., Islay Single Malt"
NA,1957,NA,45.71%,750 ml,NA,NA,3484 €,Macallan,"Campbell, Hope & King, Speyside Single Malt"
NA,1956,NA,45.71%,750 ml,NA,NA,4065 €,Macallan,"Campbell, Hope & King, Speyside Single Malt"
NA,1955,NA,45.85%,750 ml,NA,NA,3497 €,Macallan,"Campbell, Hope & King, Speyside Single Malt"
NA,NA,1981,43.00%,750 ml,NA,NA,2969 €,Macallan Royal Marriage 1981,"Original Bottling, Speyside Single Malt"
34,1936,1970,40.00%,750 ml,NA,NA,4534 €,Macallan (Pinerolo),"Gordon & MacPhail, Speyside Single Malt"
25,1958,1983,46.00%,750 ml,NA,NA,3838 €,Springbank,"R. W. Duthie & Co., Campbeltown Single Malt"
15,1964,1979,43.00%,750 ml,NA,NA,2784 €,Bowmore Bicentenary,"Original Bottling, Islay Single Malt"
20,1963,1983,46.00%,750 ml,NA,NA,3735 €,Imperial,"R. W. Duthie & Co., Speyside Single Malt"
50,1939,1989,40.00%,750 ml,NA,NA,3710 €,Mortlach,"Gordon & MacPhail, Speyside Single Malt"
30,1984,2014,60.20%,700 ml,3620,280,4150 €,Karuizawa Single Cask (Samurai),"Original Bottling, Japan Single Malt"
29,1981,2010,60.50%,700 ml,6256,573,1813 €,Karuizawa Geisha Cask,"Original Bottling, Japan Single Malt"
10,NA,NA,40.00%,750 ml,NA,NA,2493 €,Laphroaig (1970s),"Original Bottling, Islay Single Malt"
35,1938,1973,43.00%,750 ml,NA,NA,3329 €,Macallan,"Gordon & MacPhail, Speyside Single Malt"
14,1991,2005,54.00%,700 ml,7020,570,1346 €,Macallan Easter Elchie (Seasonal Selection),"Original Bottling, Speyside Single Malt"
30,1967,1997,49.80%,700 ml,1140,536,3338 €,Ardbeg,"Signatory Vintage, Islay Single Malt"
32,1980,2012,59.20%,700 ml,3565,335,2741 €,Karuizawa Noh,"Original Bottling, Japan Single Malt"
30,1984,2014,58.30%,700 ml,7843,458,3423 €,Karuizawa Single Cask (Samurai),"Original Bottling, Japan Single Malt"
24,1971,1995,46.00%,700 ml,NA,540,2049 €,Macallan,"Samaroli, Speyside Single Malt"
25,1974,1999,43.00%,700 ml,NA,NA,2093 €,Macallan Anniversary Malt,"Original Bottling, Speyside Single Malt"
32,1966,1998,55.10%,700 ml,492,NA,2027 €,Springbank Local Barley,"Original Bottling, Campbeltown Single Malt"
21,NA,NA,43.00%,700 ml,NA,121,2682 €,Macallan The Savoy (1st Edition),"Original Bottling, Speyside Single Malt"
37,1978,2015,55.20%,700 ml,NA,2940,2548 €,Port Ellen 16th Annual Release,"Original Bottling, Islay Single Malt"
18,1966,1984,43.00%,750 ml,NA,NA,2309 €,Macallan (Giovinetti & Figli),"Original Bottling, Speyside Single Malt"
25,NA,1977,40.00%,750 ml,NA,NA,1140 €,Macallan Queen´s Silver Jubilee,"Original Bottling, Speyside Single Malt"
32,1965,1997,50.80%,700 ml,NA,NA,3760 €,Springbank,"Adelphi, Campbeltown Single Malt"
25,1990,2015,59.60%,700 ml,2790,212,2600 €,Balvenie DCS Compendium (Chapter 2),"Original Bottling, Speyside Single Malt"
33,1966,1999,43.00%,700 ml,5822,108,1619 €,Glenugie,"Samaroli, Highlands Single Malt"
33,1981,2014,55.30%,700 ml,136,595,2662 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
11,1975,1986,43.00%,750 ml,NA,NA,1837 €,Ardbeg,"R. W. Duthie & Co., Islay Single Malt"
31,1966,1997,53.60%,700 ml,477,NA,1732 €,Springbank Local Barley,"Original Bottling, Campbeltown Single Malt"
22,1991,2013,62.40%,700 ml,NA,355,1227 €,Karuizawa 132.2,"Scotch Malt Whisky Society, Japan Single Malt"
19,1961,1980,43.00%,750 ml,NA,2500,916 €,Glenfarclas,"Original Bottling, Speyside Single Malt"
40,NA,2014,46.10%,700 ml,NA,NA,830 €,Glenfarclas 2014 Edition,"Original Bottling, Speyside Single Malt"
33,1968,2001,53.10%,700 ml,4615,168,898 €,Glengoyne Single Cask,"Original Bottling, Highlands Single Malt"
15,1981,1996,62.90%,700 ml,NA,NA,1023 €,Lagavulin 111.4,"Scotch Malt Whisky Society, Islay Single Malt"
22,1978,2000,60.50%,700 ml,NA,NA,727 €,Port Ellen Rare Malts,"Original Bottling, Islay Single Malt"
NA,NA,NA,45.00%,700 ml,NA,NA,638 €,Macallan 1874 Replica (First Edition),"Original Bottling, Speyside Single Malt"
31,1978,2009,51.20%,700 ml,1040,645,514 €,Glendronach Single Cask,"Original Bottling, Highlands Single Malt"
26,1969,1995,58.80%,750 ml,NA,NA,991 €,Glenlochy Rare Malts,"Original Bottling, Highlands Single Malt"
28,1973,2001,45.40%,700 ml,11151,500,834 €,Highland Park Single Cask,"Original Bottling, Islands Single Malt"
25,NA,2016,51.70%,700 ml,NA,8000,1048 €,Lagavulin Bicentenary,"Original Bottling, Islay Single Malt"
37,1939,1976,43.00%,750 ml,NA,NA,1101 €,Linkwood Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Speyside Single Malt"
23,1970,1993,58.43%,700 ml,NA,NA,991 €,St Magdalene Rare Malts,"Original Bottling, Lowlands Single Malt"
35,1966,2001,46.10%,700 ml,4379,401,915 €,Bunnahabhain Single Cask,"Original Bottling, Islay Single Malt"
NA,1970,NA,52.40%,700 ml,812,83,972 €,Linkwood Private Collection,"Gordon & MacPhail, Speyside Single Malt"
28,1973,2001,50.40%,700 ml,11167,524,821 €,Highland Park Single Cask,"Original Bottling, Islands Single Malt"
10,NA,NA,57.00%,750 ml,NA,NA,678 €,Macallan Full Proof (Giovinetti & Figli),"Original Bottling, Speyside Single Malt"
NA,NA,NA,43.00%,700 ml,NA,NA,941 €,Macallan Reflexion,"Original Bottling, Speyside Single Malt"
35,1977,2012,54.60%,700 ml,NA,3090,804 €,Talisker Cask Strength,"Original Bottling, Islands Single Malt"
35,1979,2014,51.10%,700 ml,10355,162,976 €,Port Ellen Director´s Cut,"Douglas Laing, Islay Single Malt"
36,1966,2002,40.60%,700 ml,NA,1500,843 €,Bruichladdich Legacy Series One,"Original Bottling, Islay Single Malt"
17,NA,NA,51.20%,700 ml,NA,NA,989 €,Laphroaig The Savoy (1st Edition),"Original Bottling, Islay Single Malt"
25,NA,NA,43.00%,700 ml,NA,NA,673 €,Macallan Fine Oak,"Original Bottling, Speyside Single Malt"
36,1976,2012,49.30%,700 ml,NA,NA,652 €,Tomatin Full Metal Dram,"Fulldram, Highlands Single Malt"
25,1977,2002,57.20%,700 ml,NA,9000,737 €,Lagavulin 2002 Release,"Original Bottling, Islay Single Malt"
14,1974,1988,64.30%,750 ml,NA,570,1888 €,Port Ellen,"Intertrade, Islay Single Malt"
NA,NA,NA,63.50%,700 ml,NA,6000,427 €,Octomore 1.1,"Original Bottling, Islay Single Malt"
35,NA,NA,40.00%,750 ml,NA,NA,372 €,Glen Grant,"Gordon & MacPhail, Speyside Single Malt"
NA,NA,NA,46.00%,700 ml,NA,NA,778 €,Ardbeg Lord of the Isles,"Original Bottling, Islay Single Malt"
33,1949,1982,40.00%,750 ml,NA,NA,984 €,Glen Grant,"Gordon & MacPhail, Speyside Single Malt"
30,1968,1998,56.90%,700 ml,NA,NA,560 €,Glen Grant Berry´s Own Selection,"Berry Bros & Rudd, Speyside Single Malt"
47,1966,2013,48.50%,700 ml,NA,204,737 €,Glenfarclas Old & Rare,"Hunter Laing, Speyside Single Malt"
NA,1990,NA,48.00%,700 ml,NA,700,997 €,Hanyu 27th Anniversary (Ichiro´s Malt),"Original Bottling, Japan Single Malt"
18,1979,1997,43.00%,1000 ml,NA,463,856 €,Lagavulin Distillers Edition (First Release),"Original Bottling, Islay Single Malt"
22,1988,2010,56.70%,700 ml,NA,268,562 €,Macallan,"Silver Seal, Speyside Single Malt"
NA,NA,NA,43.00%,700 ml,NA,250,803 €,Glenmorangie Christmas at Leith,"Original Bottling, Highlands Single Malt"
NA,1973,NA,56.40%,750 ml,NA,NA,1000 €,Highland Park Dragon,"John Robertson & Son Ltd., Islands Single Malt"
12,2000,2012,63.00%,700 ml,NA,553,730 €,Karuizawa 132.6,"Scotch Malt Whisky Society, Japan Single Malt"
18,1970,1988,43.00%,750 ml,542,NA,699 €,Glendronach,"Prestonfield House, Highlands Single Malt"
32,1968,2000,43.00%,700 ml,NA,1246,644 €,Glenfarclas,"Original Bottling, Speyside Single Malt"
32,1971,2003,50.10%,700 ml,NA,2160,766 €,Mortlach Special Releases (2004 Release),"Original Bottling, Speyside Single Malt"
27,1990,2017,52.40%,700 ml,NA,200,848 €,Bowmore Port Cask (Feis Ile 2017),"Original Bottling, Islay Single Malt"
24,1980,2004,57.60%,700 ml,NA,1300,788 €,Ardbeg Kildalton,"Original Bottling, Islay Single Malt"
NA,1961,NA,57.00%,750 ml,NA,NA,660 €,Glenlivet,"Gordon & MacPhail, Speyside Single Malt"
NA,1973,NA,56.90%,750 ml,NA,NA,791 €,Highland Park Dragon,"John Robertson & Son Ltd., Islands Single Malt"
15,NA,NA,45.00%,750 ml,NA,NA,638 €,Lagavulin White Horse,"Original Bottling, Islay Single Malt"
30,NA,2013,45.80%,700 ml,NA,3738,344 €,Talisker 2013 Release,"Original Bottling, Islands Single Malt"
20,NA,1980,40.00%,750 ml,NA,NA,841 €,Caol Ila,"Samaroli, Islay Single Malt"
21,1981,2002,46.00%,700 ml,NA,4000,753 €,Glenmorangie Sauternes Wood Finish,"Original Bottling, Highlands Single Malt"
20,NA,NA,52.00%,700 ml,NA,NA,693 €,Yoichi,"Original Bottling, Japan Single Malt"
37,1965,2002,41.80%,700 ml,NA,1500,705 €,Bruichladdich Legacy Series Two,"Original Bottling, Islay Single Malt"
15,1963,1978,40.00%,750 ml,NA,NA,816 €,Glen Albyn,"Cadenhead, Highlands Single Malt"
40,1962,2002,40.00%,700 ml,NA,NA,664 €,Ben Nevis,"Original Bottling, Highlands Single Malt"
22,1978,2000,50.00%,700 ml,NA,444,810 €,Rosebank The Old Malt Cask,"Douglas Laing, Lowlands Single Malt"
NA,1970,NA,51.20%,700 ml,12267,NA,487 €,Tomatin Single Cask,"Original Bottling, Highlands Single Malt"
29,1985,2014,47.70%,700 ml,1389,192,855 €,Macallan Càrn Mòr (Celebration of the Cask),"Scottish Liqueur Centre, Speyside Single Malt"
32,1982,2014,58.10%,700 ml,NA,282,713 €,St Magdalene,"Cadenhead, Lowlands Single Malt"
NA,1995,NA,62.00%,700 ml,5p70005,553,780 €,Yamazaki Owner´s Cask,"Original Bottling, Japan Single Malt"
15,NA,NA,43.00%,750 ml,NA,NA,1130 €,Ardbeg,"Sestante, Islay Single Malt"
32,1965,1997,58.10%,700 ml,NA,NA,779 €,Glen Grant 9.24,"Scotch Malt Whisky Society, Speyside Single Malt"
19,1980,1999,56.80%,700 ml,1094,588,614 €,Highland Park Single Cask,"Original Bottling, Islands Single Malt"
15,1984,1999,43.00%,700 ml,NA,NA,514 €,Macallan,"Original Bottling, Speyside Single Malt"
12,NA,NA,40.00%,700 ml,NA,NA,37 €,Aberfeldy,"Original Bottling, Highlands Single Malt"
15,NA,NA,43.00%,700 ml,NA,NA,313 €,Aberfeldy Flora & Fauna,"Original Bottling, Highlands Single Malt"
15,NA,NA,43.00%,700 ml,NA,NA,360 €,Aberfeldy Flora & Fauna,"Original Bottling, Highlands Single Malt"
16,NA,NA,55.10%,700 ml,NA,318,206 €,Aberfeldy Bits of Strange,"Original Bottling, Highlands Single Malt"
17,1978,1995,57.90%,50 ml,NA,NA,15 €,Aberfeldy,"Cadenhead, Highlands Single Malt"
17,1980,1997,62.00%,700 ml,NA,NA,270 €,Aberfeldy Flora & Fauna,"Original Bottling, Highlands Single Malt"
14,1999,2013,58.40%,700 ml,20913,NA,174 €,Aberfeldy Single Cask (Festival Bottling),"Original Bottling, Highlands Single Malt"
14,2001,2015,51.60%,700 ml,NA,NA,128 €,Aberfeldy Hand Filled,"Original Bottling, Highlands Single Malt"
25,NA,NA,40.00%,700 ml,NA,NA,193 €,Aberfeldy,"Original Bottling, Highlands Single Malt"
28,NA,NA,40.00%,700 ml,NA,NA,243 €,Aberfeldy,"Original Bottling, Highlands Single Malt"
10,NA,NA,40.00%,1000 ml,NA,NA,37 €,Aberlour,"Original Bottling, Speyside Single Malt"
NA,NA,NA,57.10%,1000 ml,NA,NA,87 €,Aberlour 100 Proof,"Original Bottling, Speyside Single Malt"
12,NA,NA,43.00%,750 ml,NA,NA,121 €,Aberlour (1980´s Old Style),"Original Bottling, Speyside Single Malt"
16,NA,2017,56.20%,700 ml,a16,NA,174 €,Aberlour Hand Filled,"Original Bottling, Speyside Single Malt"
16,NA,NA,53.50%,700 ml,4738,NA,194 €,Aberlour Single Cask (First Fill),"Original Bottling, Speyside Single Malt"
17,1999,2016,52.80%,700 ml,4868 4886,594,224 €,Aberlour Cask Strength (Distillery Exclusive),"Original Bottling, Speyside Single Malt"
8,NA,NA,50.00%,750 ml,NA,NA,188 €,Aberlour,"Original Bottling, Speyside Single Malt"
NA,NA,2003,59.80%,700 ml,11,NA,151 €,Aberlour A Bunadh,"Original Bottling, Speyside Single Malt"
NA,NA,2004,59.80%,700 ml,13,NA,136 €,Aberlour A Bunadh,"Original Bottling, Speyside Single Malt"
NA,NA,2005,59.60%,700 ml,16,NA,149 €,Aberlour A Bunadh,"Original Bottling, Speyside Single Malt"
NA,NA,NA,59.30%,700 ml,22,NA,124 €,Aberlour A Bunadh,"Original Bottling, Speyside Single Malt"
NA,NA,2009,59.90%,700 ml,29,NA,122 €,Aberlour A Bunadh,"Original Bottling, Speyside Single Malt"
NA,NA,2002,60.00%,700 ml,9,NA,175 €,Aberlour A Bunadh,"Original Bottling, Speyside Single Malt"
14,1979,1993,58.00%,700 ml,NA,NA,380 €,Allt-a-Bhainne 108.1,"Scotch Malt Whisky Society, Speyside Single Malt"
12,NA,NA,40.00%,700 ml,NA,NA,34 €,An Cnoc,"Original Bottling, Speyside Single Malt"
16,NA,NA,46.00%,700 ml,NA,NA,84 €,An Cnoc,"Original Bottling, Speyside Single Malt"
17,NA,NA,40.00%,700 ml,NA,NA,278 €,Ardbeg,"Original Bottling, Islay Single Malt"
17,NA,NA,40.00%,50 ml,NA,NA,29 €,Ardbeg,"Original Bottling, Islay Single Malt"
19,1974,1993,46.00%,700 ml,NA,NA,518 €,Ardbeg First Cask,"Direct Wines, Islay Single Malt"
26,1975,2001,43.00%,700 ml,NA,NA,542 €,Ardbeg,"Original Bottling, Islay Single Malt"
25,1975,2000,43.00%,700 ml,NA,NA,551 €,Ardbeg,"Original Bottling, Islay Single Malt"
25,1976,2001,46.00%,700 ml,NA,146,581 €,Ardbeg,"Silver Seal, Islay Single Malt"
20,1978,1998,43.00%,700 ml,NA,NA,461 €,Ardbeg,"Original Bottling, Islay Single Malt"
16,1990,2006,46.00%,700 ml,NA,NA,189 €,Ardbeg Airigh Nam Beist,"Original Bottling, Islay Single Malt"
13,1993,2006,58.00%,700 ml,NA,300,101 €,Ardbeg Authentic Collection,"Cadenhead, Islay Single Malt"
6,1997,2003,58.90%,700 ml,NA,4002,435 €,Ardbeg Very Young (Committee Release),"Original Bottling, Islay Single Malt"
11,1998,2009,55.60%,700 ml,2763,270,601 €,Ardbeg Single Cask (Cask Strength),"Original Bottling, Islay Single Malt"
9,2007,2016,60.20%,700 ml,NA,606,197 €,Ardbeg 33.135,"Scotch Malt Whisky Society, Islay Single Malt"
NA,NA,NA,51.20%,700 ml,NA,NA,194 €,Ardbeg Alligator,"Original Bottling, Islay Single Malt"
9,1998,2007,54.10%,700 ml,NA,NA,137 €,Ardbeg Almost There,"Original Bottling, Islay Single Malt"
16,NA,NA,54.30%,500 ml,NA,NA,183 €,Ardbeg Ar8 Elements of Islay,"Speciality Drinks, Islay Single Malt"
10,NA,NA,52.10%,700 ml,NA,NA,131 €,Ardbeg Ardbog,"Original Bottling, Islay Single Malt"
NA,NA,NA,49.90%,700 ml,NA,NA,111 €,Ardbeg Auriverdes,"Original Bottling, Islay Single Malt"
NA,NA,NA,40.00%,700 ml,NA,NA,108 €,Ardbeg Blasda,"Original Bottling, Islay Single Malt"
NA,NA,NA,55.00%,700 ml,NA,NA,203 €,Ardbeg Dark Cove (Committee Release 2016),"Original Bottling, Islay Single Malt"
13,1999,2012,49.00%,700 ml,NA,NA,166 €,Ardbeg Galileo,"Original Bottling, Islay Single Malt"
NA,NA,NA,51.70%,700 ml,NA,NA,173 €,Ardbeg Kelpie (Committee Release 2017),"Original Bottling, Islay Single Malt"
NA,NA,NA,46.00%,700 ml,NA,NA,209 €,Ardbeg Kildalton,"Original Bottling, Islay Single Malt"
NA,NA,2015,49.20%,700 ml,NA,NA,191 €,Ardbeg Perpetuum (Distillery Release),"Original Bottling, Islay Single Malt"
