Results,Age,Vintage,Vol.,ml,Latest Price,Region
"Glen Scotia, Jack Wiebers Whisky WorldFighting Fish b.2013One of 214 Bottles",21.0,1992.0,50.90%,700,138 €May 2019,Campbeltown
"Glen Scotia, Jack Wiebers Whisky WorldAuld Distillers Collection b.2007One of 174 Bottles",16.0,1991.0,51.60%,700,86 €March 2016,Campbeltown
"Glen Scotia, Lombard b.1999",8.0,1991.0,50.00%,700,61 €January 2016,Campbeltown
"Glen Scotia, Magni Spirits AB b.2006One of 2006 Bottles",15.0,1991.0,46.20%,700,128 €December 2016,Campbeltown
"Glen Scotia, Maltbarn b.2015One of 144 Bottles",23.0,1992.0,53.30%,700,116 €June 2019,Campbeltown
"Glen Scotia, Malts of Scotland b.2012One of 128 Bottles (Cask 13024)",40.0,1972.0,44.90%,700,300 €November 2018,Campbeltown
"Glen Scotia, Malts of Scotland b.2010One of 88 Bottles (Cask 1931)",38.0,1972.0,45.70%,700,355 €January 2019,Campbeltown
"Glen Scotia, Malts of Scotland b.2010One of 114 Bottles (Cask 1926)",38.0,1972.0,45.10%,700,380 €August 2018,Campbeltown
"Glen Scotia, Malts of Scotland b.2015One of 158 Bottles",23.0,1992.0,51.90%,700,152 €August 2018,Campbeltown
"Glen Scotia, Malts of Scotland b.2011One of 158 Bottles (Cask 12009)",20.0,1991.0,54.50%,700,150 €January 2019,Campbeltown
"Glen Scotia, Malts of Scotland b.2010One of 199 Bottles (Cask 429)",18.0,1992.0,53.30%,700,100 €August 2017,Campbeltown
"Glen Scotia, Murray McDavid b.2005One of 3500 Bottles",14.0,1991.0,46.00%,700,64 €November 2018,Campbeltown
"Glen Scotia, Murray McDavid b.2008One of 2500 Bottles",16.0,1992.0,46.00%,700,79 €June 2019,Campbeltown
"Glen Scotia, Murray McDavidMission b.2008One of 693 Bottles",17.0,1991.0,54.00%,700,78 €October 2012,Campbeltown
"Glen Scotia, Murray McDavidMission b.2003One of 496 Bottles",28.0,1975.0,46.00%,700,274 €July 2018,Campbeltown
"Glen Scotia, Murray McDavidBenchmark b.2015One of 331 Bottles (Cask 3)",24.0,1991.0,46.00%,700,157 €June 2019,Campbeltown
"Glen Scotia, Murray McDavid b.2009One of 960 Bottles",17.0,1992.0,46.00%,700,54 €December 2012,Campbeltown
"Glen Scotia, Murray McDavidRich Cigar Malt b.2008",16.0,1992.0,46.00%,700,125 €July 2017,Campbeltown
"Glen Scotia, Murray McDavidMission Wooden Box b.2003One of 498 Bottles",28.0,1975.0,46.00%,700,198 €June 2019,Campbeltown
"Glen Scotia, Murray McDavid b.2009One of 2500 Bottles",17.0,1992.0,46.00%,700,97 €September 2014,Campbeltown
"Glen Scotia, Original BottlingDistillery Edition b.2016One of 210 Bottles (Cask 67)",10.0,2006.0,57.20%,700,54 €June 2019,Campbeltown
"Glen Scotia, Original BottlingMashman´s Reserve b.2017One of 189 Bottles (Cask 626)",16.0,2001.0,58.20%,700,94 €November 2018,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2011One of 370 Bottles (Cask 225)",4.0,2007.0,45.00%,700,173 €June 2019,Campbeltown
"Glen Scotia, Original BottlingPeated",10.0,,46.00%,700,30 €March 2019,Campbeltown
"Glen Scotia, Original Bottling",18.0,,46.00%,700,73 €February 2019,Campbeltown
"Glen Scotia, Original Bottling b.1996",23.0,1973.0,40.00%,700,209 €May 2019,Campbeltown
"Glen Scotia, Original Bottling b.2017One of 276 Bottles",11.0,2006.0,55.70%,700,80 €January 2019,Campbeltown
"Glen Scotia, Original Bottling",14.0,,40.00%,700,92 €June 2019,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2011One of 320 Bottles (Cask 87)",11.0,2000.0,45.00%,700,56 €November 2017,Campbeltown
"Glen Scotia, Original Bottling b.2007One of 345 Bottles (Cask 78)",8.0,1999.0,45.00%,700,63 €May 2019,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2018One of 207 Bottles (Cask 98)",12.0,2006.0,57.90%,700,73 €May 2019,Campbeltown
"Glen Scotia, Original Bottling2017 Release b.2017",25.0,,48.80%,700,187 €May 2019,Campbeltown
"Glen Scotia, Original Bottling",16.0,,68.00%,700,113 €June 2017,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2007One of 360 Bottles (Cask 511)",8.0,1999.0,68.00%,700,82 €November 2016,Campbeltown
"Glen Scotia, Original Bottling",12.0,,40.00%,700,51 €March 2019,Campbeltown
"Glen Scotia, Original BottlingHMS Scotia",12.0,,40.00%,700,76 €January 2019,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2017One of 236 Bottles (Cask 172)",8.0,2009.0,56.90%,700,77 €June 2019,Campbeltown
"Glen Scotia, Original BottlingSingle CaskOne of 410 Bottles (Cask 404)",,2001.0,45.00%,700,44 €January 2015,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2011One of 330 Bottles (Cask 627)",10.0,2001.0,45.00%,700,62 €November 2017,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2017One of 147 Bottles (Cask 3)",17.0,2000.0,55.70%,700,105 €June 2019,Campbeltown
"Glen Scotia, Original BottlingDistillery Edition 2015 b.2015(Cask 196)",12.0,,56.10%,700,95 €May 2019,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2018One of 294 Bottles (Cask 416)",10.0,2008.0,56.30%,700,85 €June 2019,Campbeltown
"Glen Scotia, Original BottlingVictoriana",,,51.50%,700,52 €May 2019,Campbeltown
"Glen Scotia, Original BottlingLimited Edition b.2016One of 240 Bottles",24.0,1992.0,68.00%,700,97 €April 2017,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2006One of 330 Bottles (Cask 525)",7.0,1999.0,68.00%,700,76 €November 2016,Campbeltown
"Glen Scotia, Original Bottling",21.0,,46.00%,700,185 €June 2019,Campbeltown
"Glen Scotia, Original BottlingLegends of Scotia",10.0,,50.00%,700,51 €June 2019,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2018One of 100 Bottles (Cask 283)",8.0,2010.0,58.90%,700,63 €May 2019,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2017(Cask 265)",17.0,2000.0,58.30%,700,152 €March 2019,Campbeltown
"Glen Scotia, Original Bottling",10.0,,46.00%,700,80 €June 2019,Campbeltown
"Glen Scotia, Original BottlingSingle Cask b.2017One of 239 Bottles (Cask 214)",8.0,2009.0,60.20%,700,50 €January 2019,Campbeltown
"Glen Scotia, Original Bottling b.2006One of 330 Bottles (Cask 518)",7.0,1999.0,45.00%,700,95 €May 2019,Campbeltown
"Glen Scotia, Original Bottling",10.0,,68.00%,700,39 €September 2016,Campbeltown
