Day,Max Temperature,Min Temperature,Precipitation,Temperature
1973,11.784318766066837,4.457495164410057,2.141950207468896,14.013066348271867
1974,11.714396551724143,4.680552907530982,2.3416938110749443,14.054673005489633
1975,12.185248713550601,4.7145905707196025,2.0664646464646643,14.542543998910404
1976,11.941979949874685,5.118115942028986,2.1732724384432256,14.501037920889178
1977,11.258641188959666,4.463827704356338,2.4811183144246565,13.490555041137835
1978,11.201489995742874,4.6805500982318256,2.462170790103774,13.541765044858787
1979,10.675502351432238,4.088116914230954,2.6527032438926983,12.719560808547715
1980,11.37663391712943,4.872835394862037,2.6509119746233423,13.813051614560448
1981,11.439508832399827,4.271147218119154,2.577374301676003,13.575082441459404
1982,12.042975635044048,4.75667215815486,3.2124936515998157,14.421311714121478
1983,12.31102484472052,4.878980169971671,2.5845584607794994,14.750514929706355
1984,12.174690181124884,4.875254965110035,3.0898433552299305,14.612317663679901
1985,11.091372912801456,4.329782723900369,3.3596845736816383,13.25626427475164
1986,11.07586533902323,4.103224101479913,3.019050000000024,13.127477389763186
1987,11.210599721059978,4.474276696475534,2.8253145445395265,13.447738069297746
1988,11.996206581352817,5.14430037817396,3.12805000000002,14.568356770439797
1989,12.444597156398101,5.069919571045569,2.3590113285273047,14.979556941920887
1990,12.436621751684303,5.194514285714277,3.187437686939205,15.033878894541441
1991,11.96818622696412,4.959888579387185,2.677924050632928,14.448130516657713
1992,11.952037309769247,4.73493303571428,3.2134751773049848,14.319503827626388
1993,11.211167985109391,4.5293112653497065,2.9940524193548455,13.475823617784243
1994,11.81968225948808,4.823249738766984,3.2402051282051403,14.23130712887157
1995,12.375935828877012,4.997775478530779,2.881914893617028,14.874823568142402
1996,11.569619131975193,4.874780361757108,2.7578364116095044,14.007009312853747
1997,12.70644444444446,5.644632469592803,2.9108008429926233,15.528760679240861
1998,12.09317573595004,5.38309333333332,3.3203372508942413,14.7847224026167
1999,12.301209677419328,5.464057507987214,2.9139326800170915,15.033238431412935
2000,12.240618860510777,5.077275329135657,4.034401972873037,14.779256525078605
2001,11.798156028368792,4.531970260223047,3.2406731317741304,14.064141158480316
2002,12.38391539596657,4.84618341570565,3.9481401617250937,14.807007103819394
2003,12.8377448385389,2.970298585646936,2.2150142993327036,14.322894131362368
2004,12.400163043478273,2.3116692034500255,3.0506012506012645,13.555997645203286
2005,12.4719512195122,4.5203834510595415,2.663588621444224,14.73214294504197
2006,12.808910295002983,4.788629117959617,2.5359368836292253,15.203224853982793
2007,12.537199765670746,4.651839826839822,2.590359541683161,14.863119679090657
2008,12.258376214979991,2.0528942115768465,2.7585433070866405,13.284823320768414
2009,12.3801324503311,3.8063938618925808,2.983091408395486,14.28332938127739
2010,11.51164074259907,4.051143335192412,2.3147360126083747,13.537212410195277
2011,12.695843892549393,5.400274574409651,2.812025316455721,15.395981179754218
2012,11.774387193596803,4.648957746478861,2.674558996471994,14.098866066836234
2013,12.30817477096545,5.041892940263765,2.387790468688487,14.829121241097333
2014,12.786519733469998,5.850027517886615,2.9459724950884367,15.711533492413306
2015,12.378406031233142,5.004118993135003,2.9942599425994536,14.880465527800643
2016,11.625897435897443,5.311161217587365,2.7535056967572604,14.281478044691125
2017,12.153464499572289,5.612758813654152,2.902850061957894,14.959843906399366
2018,12.842105263157896,5.0201865988125505,2.8020202020202385,15.35219856256417
2019,11.440845070422535,3.5944134078212264,2.608756756756755,
