Day,Precipitation,Min Temperature,Max Temperature
9/2/1973,S,S,S
9/3/1973,S,S,S
9/4/1973,S,S,S
9/5/1973,S,S,S
9/6/1973,S,S,S
9/7/1973,S,S,S
9/8/1973,S,S,S
9/9/1973,S,S,S
9/10/1973,S,S,S
9/11/1973,S,S,S
9/12/1973,S,S,S
9/13/1973,S,S,S
9/14/1973,S,S,S
9/15/1973,S,S,S
9/16/1973,S,S,S
9/17/1973,S,S,S
9/18/1973,S,S,S
9/19/1973,S,S,S
9/20/1973,S,S,S
9/21/1973,S,S,S
9/22/1973,S,S,S
9/23/1973,S,S,S
9/24/1973,S,S,S
9/25/1973,S,S,S
9/26/1973,S,S,S
9/27/1973,S,S,S
9/28/1973,S,S,S
9/29/1973,S,S,S
9/30/1973,S,S,S
10/1/1973,S,S,S
10/2/1973,S,S,S
10/3/1973,S,S,S
10/4/1973,S,S,S
10/5/1973,S,S,S
10/6/1973,S,S,S
10/7/1973,S,S,S
10/8/1973,S,S,S
10/9/1973,S,S,S
10/10/1973,S,S,S
10/11/1973,S,S,S
10/12/1973,S,S,S
10/13/1973,S,S,S
10/14/1973,S,S,S
10/15/1973,S,S,S
10/16/1973,S,S,S
10/17/1973,S,S,S
10/18/1973,S,S,S
10/19/1973,S,S,S
10/20/1973,S,S,S
10/21/1973,S,S,S
10/22/1973,S,S,S
10/23/1973,S,S,S
10/24/1973,S,S,S
10/25/1973,S,S,S
10/26/1973,S,S,S
10/27/1973,S,S,S
10/28/1973,S,S,S
10/29/1973,S,S,S
10/30/1973,S,S,S
10/31/1973,S,S,S
11/1/1973,S,S,S
11/2/1973,S,S,S
11/3/1973,S,S,S
11/4/1973,S,S,S
11/5/1973,S,S,S
11/6/1973,S,S,S
11/7/1973,S,S,S
11/8/1973,S,S,S
11/9/1973,S,S,S
11/10/1973,S,S,S
11/11/1973,S,S,S
11/12/1973,S,S,S
11/13/1973,S,S,S
11/14/1973,S,S,S
11/15/1973,S,S,S
11/16/1973,S,S,S
11/17/1973,S,S,S
11/18/1973,S,S,S
11/19/1973,S,S,S
11/20/1973,S,S,S
11/21/1973,S,S,S
11/22/1973,S,S,S
11/23/1973,S,S,S
11/24/1973,S,S,S
11/25/1973,S,S,S
11/26/1973,S,S,S
11/27/1973,S,S,S
11/28/1973,S,S,S
11/29/1973,S,S,S
11/30/1973,S,S,S
12/1/1973,S,S,S
12/2/1973,S,S,S
12/3/1973,S,S,S
12/4/1973,S,S,S
12/5/1973,S,S,S
12/6/1973,S,S,S
12/7/1973,S,S,S
12/8/1973,S,S,S
12/9/1973,S,S,S
12/10/1973,S,S,S
12/11/1973,S,S,S
12/12/1973,S,S,S
12/13/1973,S,S,S
12/14/1973,S,S,S
12/15/1973,S,S,S
12/16/1973,S,S,S
12/17/1973,S,S,S
12/18/1973,S,S,S
12/19/1973,S,S,S
12/20/1973,S,S,S
12/21/1973,S,S,S
12/22/1973,S,S,S
12/23/1973,S,S,S
12/24/1973,S,S,S
12/25/1973,S,S,S
12/26/1973,S,S,S
12/27/1973,S,S,S
12/28/1973,S,S,S
12/29/1973,S,S,S
12/30/1973,S,S,S
12/31/1973,S,S,S
1/1/1974,S,S,S
1/2/1974,S,S,S
1/3/1974,S,S,S
1/4/1974,S,S,S
1/5/1974,S,S,S
1/6/1974,S,S,S
1/7/1974,S,S,S
1/8/1974,S,S,S
1/9/1974,S,S,S
1/10/1974,S,S,S
1/11/1974,S,S,S
1/12/1974,S,S,S
1/13/1974,S,S,S
1/14/1974,S,S,S
1/15/1974,S,S,S
1/16/1974,S,S,S
1/17/1974,S,S,S
1/18/1974,S,S,S
1/19/1974,S,S,S
1/20/1974,S,S,S
1/21/1974,S,S,S
1/22/1974,S,S,S
1/23/1974,S,S,S
1/24/1974,S,S,S
1/25/1974,S,S,S
1/26/1974,S,S,S
1/27/1974,S,S,S
1/28/1974,S,S,S
1/29/1974,S,S,S
1/30/1974,S,S,S
1/31/1974,S,S,S
