Day,Precipitation,Min Temperature,Max Temperature,id
1/1/1973,0,10,11.6,EI000003969
1/2/1973,2,9.4,11.9,EI000003969
1/3/1973,1.7,7.3,11.3,EI000003969
1/4/1973,0,7.5,11.4,EI000003969
1/5/1973,0,4.4,9.7,EI000003969
1/6/1973,0,5.5,9.2,EI000003969
1/7/1973,0,0.9,7,EI000003969
1/8/1973,0,4,7.9,EI000003969
1/9/1973,0,4.7,8.1,EI000003969
1/10/1973,0.2,5.2,6.6,EI000003969
1/11/1973,0.1,4.8,7,EI000003969
1/12/1973,3,4.9,7.5,EI000003969
1/13/1973,2.6,5.5,7.2,EI000003969
1/14/1973,9.3,2.7,9.4,EI000003969
1/15/1973,0.3,3.5,7.4,EI000003969
1/16/1973,0,-1,5,EI000003969
1/17/1973,0,-4.8,1.5,EI000003969
1/18/1973,0.3,-6.9,6.9,EI000003969
1/19/1973,4.7,0.7,8,EI000003969
1/20/1973,1.5,4,5.3,EI000003969
1/21/1973,0.2,-0.2,4.8,EI000003969
1/22/1973,2.1,-0.7,11.4,EI000003969
1/23/1973,0.2,0.3,11.6,EI000003969
1/24/1973,0,7.6,13.6,EI000003969
1/25/1973,1.2,8.5,12.4,EI000003969
1/26/1973,5.4,4.5,9.9,EI000003969
1/27/1973,7.3,5.4,9.7,EI000003969
1/28/1973,0.3,6.3,10.7,EI000003969
1/29/1973,1.1,7.3,9.8,EI000003969
1/30/1973,0.9,3.3,7.5,EI000003969
1/31/1973,3,0.5,8.9,EI000003969
2/1/1973,0.7,3.4,11,EI000003969
2/2/1973,0.3,7,11.1,EI000003969
2/3/1973,0.1,6.8,9.6,EI000003969
2/4/1973,0.2,7.4,9.2,EI000003969
2/5/1973,0.2,5.5,9.6,EI000003969
2/6/1973,0.9,5.5,10.4,EI000003969
2/7/1973,3.6,7.9,10.1,EI000003969
2/8/1973,6.7,5.7,6.9,EI000003969
2/9/1973,1.1,0.3,6.3,EI000003969
2/10/1973,0.5,0.6,8.2,EI000003969
2/11/1973,5.6,2.5,9.9,EI000003969
2/12/1973,2.4,3.4,3.9,EI000003969
2/13/1973,1,-1.6,2.8,EI000003969
2/14/1973,11.8,-2.4,2.8,EI000003969
2/15/1973,0,-1.9,3.4,EI000003969
2/16/1973,0,-4.4,5.8,EI000003969
2/17/1973,0.1,-3,9.2,EI000003969
2/18/1973,0.8,3,9.4,EI000003969
2/19/1973,0.3,3.5,11.9,EI000003969
2/20/1973,0.8,6.3,11.7,EI000003969
2/21/1973,0.5,7.8,10.5,EI000003969
2/22/1973,0.1,3.4,8,EI000003969
2/23/1973,1.9,1.7,6.9,EI000003969
2/24/1973,0.1,1.3,7.4,EI000003969
2/25/1973,9.1,-0.9,2.7,EI000003969
2/26/1973,0.1,-0.3,4.9,EI000003969
2/27/1973,1.5,-2.6,8.9,EI000003969
2/28/1973,0.6,1.3,10.4,EI000003969
3/1/1973,1.5,5.7,9.3,EI000003969
3/2/1973,0.7,1.5,11,EI000003969
3/3/1973,4.3,7.2,10.8,EI000003969
3/4/1973,0.1,7.4,11,EI000003969
3/5/1973,2.1,0.1,10,EI000003969
