Day,Max Temperature,Min Temperature,Precipitation,Temperature
1973,13.288644688644684,6.775137614678898,2.817284545016863,16.676213495984133
1974,12.876537216828483,6.284206349206359,3.2830487296959854,16.018640391431664
1975,13.70365068002863,6.907223001402519,2.467412530512627,17.15726218072989
1976,13.436856554564175,6.592982456140341,2.862280343277502,16.733347782634347
1977,13.4645569620253,6.934297769740799,3.2277801091061944,16.9317058468957
1978,13.222380336351884,7.27177974434611,3.011914715719084,16.85827020852494
1979,12.37346544224261,6.048680203045691,3.2250000000000245,15.397805543765456
1980,12.779211637728746,6.867312234293818,3.2985280999108135,16.212867754875656
1981,13.032011605415859,7.013432835820894,3.1484156570363675,16.538728023326307
1982,13.75869249394672,6.848727666486201,3.615314494074772,17.18305632718982
1983,13.455743243243255,6.953681462140989,3.065909090909107,16.93258397431375
1984,13.789246843709167,6.353976470588256,3.121765209940032,16.966235079003294
1985,12.659713790112736,6.204430681276808,3.4525161290322743,15.76192913075114
1986,12.298601398601381,5.65571428571429,3.4778577476714823,15.126458541458526
1987,13.000087489063887,6.4651564689397585,3.033420479302841,16.232665723533767
1988,13.114659926470573,6.680729423361264,3.4453648068669764,16.455024638151205
1989,13.902702702702701,7.098418024928092,3.0486713906111764,17.451911715166748
1990,14.074492497793493,7.250120948234159,3.349608013937299,17.69955297191057
1991,13.497830898627683,6.9805268109125,3.059424778761075,16.988094304083933
1992,13.423503713412,6.783278223901752,3.2873748367436,16.815142825362877
1993,13.53533980582525,6.999067357512953,3.539811133200806,17.034873484581727
1994,13.459932942162613,7.117909760589333,3.7558873720136696,17.01888782245728
1995,14.469576164498516,7.50036815462496,3.4097826086956693,18.219760241810995
1996,13.24047322540473,6.703100416473863,3.4284662045060785,16.59202343364166
1997,14.35211672831892,7.841889400921673,3.3172368990905254,18.273061428779755
1998,14.103650860260188,7.695547309833032,3.793901384083059,17.951424515176704
1999,14.020496632996625,7.590099009900991,3.6160670482420545,17.81554613794712
2000,13.735731907894714,7.154392523364489,3.801457351050171,17.312928169576956
2001,13.80628078817734,6.9083135391924015,3.0878260869565466,17.26043755777354
2002,13.956318449873647,7.277067307692306,4.118075422626801,17.594852103719802
2003,14.327891156462593,7.447219413549029,2.7812852800694925,18.05150086323711
2004,14.022067767158958,7.557998037291447,3.0966086956521948,17.801066785804682
2005,14.079249352890375,7.784562097971294,3.382700993676627,17.971530401876024
2006,14.318932256617298,7.76671842650104,4.076831683168341,18.202291469867816
2007,14.629417163836637,7.972248803827733,3.5626494023904614,18.615541565750505
2008,13.940831074977355,7.3138832997987775,4.30325982742092,17.597772724876744
2009,13.72157802964249,7.3850120481927615,4.593441064638805,17.414084053738872
2010,12.634329199549073,5.412527634487838,3.3238000000000083,15.340593016792992
2011,13.886779184247578,7.374351585014421,4.057474600870845,17.573954976754788
2012,13.54628571428576,7.308661417322838,3.7221852098601156,17.200616422947178
2013,13.605642633228795,7.255602761550706,3.206808326105829,17.23344401400415
2014,14.256311548791366,7.671122715404695,3.6677241962775082,18.091872906493712
2015,13.779616895874263,7.024512534818935,4.016317432010711,17.29187316328373
2016,14.083906633906633,7.4106315789473545,3.132949876746118,17.78922242338031
2017,14.25156054931336,7.643009605122736,3.1411483253588726,18.073065351874728
2018,13.744100294985259,7.243226531759409,3.2779729729729916,17.365713560864965
