Day,Precipitation,Min Temperature,Max Temperature,id
6/2/1973,3,8,15,UKM00003917
6/3/1973,4.1,7,15,UKM00003917
6/4/1973,0,4,15,UKM00003917
6/5/1973,0,6,19,UKM00003917
6/6/1973,0,9,21,UKM00003917
6/7/1973,0,10,22,UKM00003917
6/8/1973,0,M,19,UKM00003917
6/9/1973,0.3,12,19,UKM00003917
6/10/1973,0.5,10,15,UKM00003917
6/11/1973,0.5,10,18,UKM00003917
6/12/1973,5.1,M,17,UKM00003917
6/13/1973,0.3,6,14,UKM00003917
6/14/1973,0,4,M,UKM00003917
6/15/1973,0,12,21,UKM00003917
6/16/1973,1,15,19,UKM00003917
6/17/1973,1.5,M,17,UKM00003917
6/18/1973,1,10,21,UKM00003917
6/19/1973,5.1,M,18,UKM00003917
6/20/1973,0.3,M,17,UKM00003917
6/21/1973,0,5,22,UKM00003917
6/22/1973,0,13,23,UKM00003917
6/23/1973,0,10,18,UKM00003917
6/24/1973,0,8,16,UKM00003917
6/25/1973,M,M,19,UKM00003917
6/26/1973,4.1,9,18,UKM00003917
6/27/1973,0,5,20,UKM00003917
6/28/1973,0,M,21,UKM00003917
6/29/1973,1,12,20,UKM00003917
6/30/1973,0.3,M,20,UKM00003917
7/1/1973,13,12,18,UKM00003917
7/2/1973,13,9,19,UKM00003917
7/3/1973,3,13,21,UKM00003917
7/4/1973,6.1,13,21,UKM00003917
7/5/1973,0,12,23,UKM00003917
7/6/1973,6.1,M,17,UKM00003917
7/7/1973,0.3,8,17,UKM00003917
7/8/1973,0,9,20,UKM00003917
7/9/1973,0.3,11,16,UKM00003917
7/10/1973,7.6,14,18,UKM00003917
7/11/1973,4.1,13,18,UKM00003917
7/12/1973,1.3,13,19,UKM00003917
7/13/1973,7.9,M,17,UKM00003917
7/14/1973,0.5,10,17,UKM00003917
7/15/1973,2.3,11,18,UKM00003917
7/16/1973,0.3,14,23,UKM00003917
7/17/1973,0,11,19,UKM00003917
7/18/1973,M,M,16,UKM00003917
7/19/1973,7.9,13,16,UKM00003917
7/20/1973,M,11,15,UKM00003917
7/21/1973,8.9,M,13,UKM00003917
7/22/1973,1,9,15,UKM00003917
7/23/1973,0,9,17,UKM00003917
7/24/1973,1,11,17,UKM00003917
7/25/1973,0,10,19,UKM00003917
7/26/1973,0,8,14,UKM00003917
7/27/1973,0,11,18,UKM00003917
7/28/1973,0,11,23,UKM00003917
7/29/1973,0,11,23,UKM00003917
7/30/1973,0,13,20,UKM00003917
7/31/1973,M,M,22,UKM00003917
8/1/1973,0,14,20,UKM00003917
8/2/1973,10.9,M,18,UKM00003917
8/3/1973,4.1,M,18,UKM00003917
8/4/1973,3,9,M,UKM00003917
8/5/1973,1.5,10,17,UKM00003917
8/6/1973,7.9,9,15,UKM00003917
8/7/1973,3.3,7,17,UKM00003917
8/8/1973,M,8,M,UKM00003917
8/9/1973,M,12,20,UKM00003917
8/10/1973,0.5,M,18,UKM00003917
8/11/1973,0.3,5,19,UKM00003917
8/12/1973,0,7,21,UKM00003917
8/13/1973,0,12,25,UKM00003917
8/14/1973,M,13,M,UKM00003917
8/15/1973,0,15,27,UKM00003917
8/16/1973,1,13,21,UKM00003917
8/17/1973,0,10,17,UKM00003917
8/18/1973,0,11,15,UKM00003917
8/19/1973,11.9,12,16,UKM00003917
8/20/1973,7.1,11,14,UKM00003917
8/21/1973,0,10,15,UKM00003917
8/22/1973,2,13,16,UKM00003917
8/23/1973,2,15,21,UKM00003917
8/24/1973,0,12,23,UKM00003917
8/25/1973,0,15,22,UKM00003917
8/26/1973,0,14,20,UKM00003917
8/27/1973,0.5,M,20,UKM00003917
8/28/1973,1,9,18,UKM00003917
8/29/1973,8.9,M,19,UKM00003917
8/30/1973,1,10,17,UKM00003917
8/31/1973,6.1,11,18,UKM00003917
9/1/1973,1.5,12,17,UKM00003917
9/2/1973,0.5,10,16,UKM00003917
9/3/1973,2,0,17,UKM00003917
9/4/1973,M,M,22,UKM00003917
9/5/1973,0.3,12,20,UKM00003917
9/6/1973,0,13,21,UKM00003917
9/7/1973,0,16,19,UKM00003917
9/8/1973,0,14,21,UKM00003917
9/9/1973,0,11,20,UKM00003917
9/10/1973,0,9,15,UKM00003917
9/11/1973,0,9,19,UKM00003917
9/12/1973,0,8,18,UKM00003917
9/13/1973,0,9,14,UKM00003917
9/14/1973,0,12,16,UKM00003917
9/15/1973,0,11,18,UKM00003917
9/16/1973,3,14,21,UKM00003917
9/17/1973,7.1,M,18,UKM00003917
9/18/1973,4.1,9,15,UKM00003917
9/19/1973,M,8,M,UKM00003917
9/20/1973,0,7,14,UKM00003917
9/21/1973,2,7,15,UKM00003917
9/22/1973,11.9,7,14,UKM00003917
9/23/1973,0,6,15,UKM00003917
9/24/1973,3,6,11,UKM00003917
9/25/1973,0.3,6,15,UKM00003917
9/26/1973,5.1,M,15,UKM00003917
9/27/1973,7.1,6,13,UKM00003917
9/28/1973,3,7,11,UKM00003917
9/29/1973,1,6,14,UKM00003917
9/30/1973,0,5,12,UKM00003917
10/1/1973,0.5,7,15,UKM00003917
10/2/1973,0.3,M,16,UKM00003917
10/3/1973,0.3,7,19,UKM00003917
10/4/1973,0,10,14,UKM00003917
10/5/1973,M,M,15,UKM00003917
10/6/1973,0,M,17,UKM00003917
10/7/1973,0.3,5,13,UKM00003917
10/8/1973,6.1,8,M,UKM00003917
10/9/1973,6.1,9,13,UKM00003917
10/10/1973,20.1,M,9,UKM00003917
10/11/1973,0,1,9,UKM00003917
10/12/1973,0.3,M,M,UKM00003917
10/13/1973,0,7,10,UKM00003917
10/14/1973,0,5,9,UKM00003917
10/15/1973,0.3,5,8,UKM00003917
10/16/1973,0,0,10,UKM00003917
10/17/1973,M,0,M,UKM00003917
10/18/1973,0.3,2,9,UKM00003917
10/19/1973,4.3,7,12,UKM00003917
10/20/1973,2.5,7,13,UKM00003917
10/21/1973,M,M,12,UKM00003917
10/22/1973,5.1,5,13,UKM00003917
10/23/1973,0,4,11,UKM00003917
10/24/1973,1,9,13,UKM00003917
10/25/1973,0.3,9,14,UKM00003917
10/26/1973,0.5,M,12,UKM00003917
10/27/1973,0,7,14,UKM00003917
10/28/1973,0.5,M,11,UKM00003917
10/29/1973,0,1,11,UKM00003917
10/30/1973,0,1,12,UKM00003917
10/31/1973,0,5,11,UKM00003917
11/1/1973,0.5,9,13,UKM00003917
11/2/1973,M,M,14,UKM00003917
11/3/1973,1.5,11,13,UKM00003917
11/4/1973,12.2,M,13,UKM00003917
11/5/1973,2.5,3,5,UKM00003917
11/6/1973,2,2,8,UKM00003917
11/7/1973,0.3,4,12,UKM00003917
11/8/1973,0,9,14,UKM00003917
11/9/1973,18,M,M,UKM00003917
11/10/1973,1,2,9,UKM00003917
11/11/1973,0.5,3,8,UKM00003917
11/12/1973,3,5,12,UKM00003917
11/13/1973,0.5,M,8,UKM00003917
