vintage,age,ABV,score,price,country,style,precip,temp
2015,17.0,55.90%,89,140,UK,Single Malt Scotch,2.9942599425994536,14.880465527800643
1990,20.0,57.90%,89,3600,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
2017,18.0,54.80%,89,340,UK,Single Malt Scotch,2.9028500619578934,14.959843906399364
1974,30.0,42.00%,89,245,UK,Single Malt Scotch,2.3416938110749443,14.054673005489633
1977,27.0,53.10%,89,165,UK,Single Malt Scotch,2.4811183144246565,13.490555041137837
1986,18.0,46.00%,89,80,UK,Single Malt Scotch,3.019050000000024,13.127477389763186
2005,8.0,55.90%,89,85,UK,Single Malt Scotch,2.663588621444224,14.732142945041973
1982,22.0,43.00%,89,100,UK,Single Malt Scotch,3.2124936515998166,14.421311714121478
1982,21.0,46.00%,89,195,UK,Single Malt Scotch,3.2124936515998166,14.421311714121478
2015,32.0,53.90%,89,3700,UK,Single Malt Scotch,2.9942599425994536,14.880465527800643
2011,21.0,53.80%,89,261,UK,Single Malt Scotch,2.8120253164557205,15.395981179754214
2017,17.0,55.90%,89,310,UK,Single Malt Scotch,2.9028500619578934,14.959843906399364
2000,14.0,54.30%,89,130,UK,Single Malt Scotch,4.034401972873037,14.779256525078607
2002,14.0,54.10%,89,140,UK,Single Malt Scotch,3.9481401617250937,14.807007103819394
2006,11.0,49.10%,89,100,UK,Single Malt Scotch,2.5359368836292253,15.203224853982793
2006,11.0,58.20%,89,100,UK,Single Malt Scotch,2.5359368836292253,15.203224853982793
2002,14.0,48.30%,88,99,UK,Single Malt Scotch,3.9481401617250937,14.807007103819394
2009,10.0,65.80%,88,60,UK,Single Malt Scotch,2.9830914083954863,14.28332938127739
2017,18.0,59.80%,88,100,UK,Single Malt Scotch,2.9028500619578934,14.959843906399364
1983,21.0,43.00%,88,100,UK,Single Malt Scotch,2.5845584607795,14.750514929706357
1989,19.0,58.70%,88,135,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1980,25.0,53.90%,88,160,UK,Single Malt Scotch,2.6509119746233423,13.813051614560447
1977,30.0,43.00%,88,180,UK,Single Malt Scotch,2.4811183144246565,13.490555041137837
1974,29.0,43.00%,88,90,UK,Single Malt Scotch,2.3416938110749443,14.054673005489633
1990,20.0,58.60%,88,124,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1992,13.0,57.70%,88,125,UK,Single Malt Scotch,3.2134751773049848,14.319503827626386
1975,28.0,45.00%,88,135,UK,Single Malt Scotch,2.0664646464646643,14.542543998910404
1974,30.0,52.40%,88,230,UK,Single Malt Scotch,2.3416938110749443,14.054673005489633
1994,13.0,46.00%,88,65,UK,Single Malt Scotch,3.2402051282051403,14.23130712887157
2014,21.0,55.30%,88,500,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
2014,12.0,52.30%,88,76,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
2012,30.0,54.70%,88,359,UK,Single Malt Scotch,2.674558996471994,14.098866066836235
2017,32.0,48.20%,88,1400,UK,Single Malt Scotch,2.9028500619578934,14.959843906399364
1973,31.0,50.00%,88,200,UK,Single Malt Scotch,2.141950207468896,14.013066348271868
2005,11.0,57.60%,88,100,UK,Single Malt Scotch,2.663588621444224,14.732142945041973
2006,11.0,53.40%,88,105,UK,Single Malt Scotch,2.5359368836292253,15.203224853982793
1980,35.0,46.00%,88,200,UK,Blended Scotch Whisky,2.6509119746233423,13.813051614560447
2008,9.0,60.70%,88,65,UK,Single Malt Scotch,2.7585433070866405,13.284823320768414
2008,9.0,62.20%,88,70,UK,Single Malt Scotch,2.7585433070866405,13.284823320768414
1974,29.0,,87,110,UK,Single Malt Scotch,2.3416938110749443,14.054673005489633
2003,14.0,48.30%,87,99,UK,Single Malt Scotch,2.2150142993327044,14.322894131362364
1975,31.0,58.40%,87,300,UK,Single Malt Scotch,2.0664646464646643,14.542543998910404
1992,13.0,,87,70,UK,Single Malt Scotch,3.2134751773049848,14.319503827626386
1994,12.0,56.00%,87,66,UK,Single Malt Scotch,3.2402051282051403,14.23130712887157
1991,16.0,53.10%,87,100,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1988,16.0,46.00%,87,60,UK,Single Malt Scotch,3.1280500000000204,14.568356770439793
1996,8.0,58.10%,87,55,UK,Single Malt Scotch,2.7578364116095044,14.007009312853748
1998,10.0,46.00%,87,70,UK,Single Malt Scotch,3.3203372508942413,14.7847224026167
2014,15.0,60.39%,87,120,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
1998,11.0,60.30%,87,110,UK,Single Malt Scotch,3.3203372508942413,14.7847224026167
1981,18.0,46.00%,87,114,UK,Single Malt Scotch,2.577374301676003,13.575082441459406
1975,22.0,58.00%,87,215,UK,Single Malt Scotch,2.0664646464646643,14.542543998910404
1990,15.0,53.60%,87,78,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1991,14.0,43.00%,87,60,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1976,30.0,49.30%,87,400,UK,Single Malt Scotch,2.1732724384432256,14.501037920889175
2004,10.0,57.70%,87,110,UK,Single Malt Scotch,3.0506012506012645,13.555997645203286
2007,7.0,54.60%,87,145,UK,Single Malt Scotch,2.5903595416831613,14.863119679090655
2003,14.0,54.50%,87,135,UK,Single Malt Scotch,2.2150142993327044,14.322894131362364
1990,23.0,59.20%,87,127,UK,Blended Malt Scotch Whisky,3.187437686939205,15.03387889454144
2008,10.0,40.00%,87,33,UK,Single Malt Scotch,2.7585433070866405,13.284823320768414
2004,13.0,40.00%,87,55,UK,Single Malt Scotch,3.0506012506012645,13.555997645203286
2016,25.0,55.70%,86,455,UK,Single Malt Scotch,2.7535056967572604,14.281478044691124
2001,15.0,50.00%,86,123,UK,Single Malt Scotch,3.2406731317741304,14.064141158480314
2014,17.0,52.90%,86,421,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
2012,14.0,59.30%,86,103,UK,Single Malt Scotch,2.674558996471994,14.098866066836235
2012,25.0,52.10%,86,300,UK,Single Malt Scotch,2.674558996471994,14.098866066836235
2015,25.0,48.80%,86,480,UK,Single Malt Scotch,2.9942599425994536,14.880465527800643
1991,18.0,51.70%,86,110,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1986,20.0,55.30%,86,175,UK,Single Malt Scotch,3.019050000000024,13.127477389763186
1983,22.0,56.40%,86,175,UK,Single Malt Scotch,2.5845584607795,14.750514929706357
1981,24.0,45.30%,86,180,UK,Single Malt Scotch,2.577374301676003,13.575082441459406
1976,26.0,49.90%,86,140,UK,Single Malt Scotch,2.1732724384432256,14.501037920889175
1990,14.0,46.00%,86,70,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
