vintage,avp,size,price,name,precip,temp,max_t,min_t
1989,55.20,700,9895.65,Macallan Fine and Rare,2.3590113285273047,14.979556941920887,12.444597156398098,5.069919571045569
1973,43.20,700,6206.01,Bowmore,2.141950207468896,14.013066348271868,11.784318766066836,4.457495164410057
1973,45.20,700,8388.27,Clynelish Single Cask (Wealth Solutions),2.141950207468896,14.013066348271868,11.784318766066836,4.457495164410057
1981,54.70,700,4067.04,Port Ellen Feis Ile 2008,2.577374301676003,13.575082441459406,11.439508832399829,4.271147218119154
1974,60.80,750,4089.24,Longmorn Cask Strength (Sherrywood),2.3416938110749443,14.054673005489633,11.714396551724146,4.6805529075309815
1973,53.00,750,4979.46,Longrow,2.141950207468896,14.013066348271868,11.784318766066836,4.457495164410057
1974,55.60,700,2478.63,Ardbeg Provenance (1st Release),2.3416938110749443,14.054673005489633,11.714396551724146,4.6805529075309815
1980,57.40,700,2807.19,Laphroaig,2.6509119746233423,13.813051614560447,11.37663391712943,4.8728353948620375
1997,52.30,700,1397.4900000000002,Macallan Easter Elchie,2.910800842992624,15.52876067924086,12.706444444444461,5.6446324695928025
1997,59.70,700,1941.39,Macallan Easter Elchie,2.910800842992624,15.52876067924086,12.706444444444461,5.6446324695928025
1980,40.00,700,2198.9100000000008,Macallan Gran Reserva,2.6509119746233423,13.813051614560447,11.37663391712943,4.8728353948620375
1999,57.20,700,1649.46,Macallan Easter Elchie,2.9139326800170915,15.033238431412935,12.301209677419328,5.464057507987215
1979,56.20,700,2410.92,Port Ellen 1st Annual Release,2.6527032438926983,12.719560808547714,10.67550235143224,4.0881169142309535
1990,52.90,700,2771.67,Balvenie DCS Compendium (Chapter 2),3.187437686939205,15.03387889454144,12.436621751684307,5.194514285714278
1974,52.60,750,1546.2300000000002,Highland Park Online Tasting,2.3416938110749443,14.054673005489633,11.714396551724146,4.6805529075309815
1989,59.20,500,1774.89,Macallan Cask Strength,2.3590113285273047,14.979556941920887,12.444597156398098,5.069919571045569
1976,53.20,700,2533.0200000000004,Ardbeg Single Cask (The Ardbeg Committee),2.1732724384432256,14.501037920889175,11.941979949874685,5.118115942028986
