Index,Maker,Year Distrilled,age in cast,ABV,Single Malt Scotch,Flavored Whiskey and Liqueurs,Bourbon, Blended Malt Scotch Whisky ,Blended Scotch Whisky,Blended Whiskey (Multi-country), Single Malt Whisky (Multi-country), Single Grain Whisky (Multi-country),Japan, Canada,Irish,Generic Whisky (Multi-country),Rye Whisky,White Whisky,Craft Whisky,SUM,Review Score (Points), price ,Original Style,country
572,Laphroaig,,32 years old,46.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,"$1,500 ",Single Malt Scotch,UK
573,Loch Lomond,,18 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$99 ,Single Malt Scotch,UK
574,Longmorn,,16 years old,48.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$125 ,Single Malt Scotch,UK
575,The Macallan,,,42.70%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$180 ,Single Malt Scotch,UK
576,The Macallan,,,52.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$185 ,Single Malt Scotch,UK
577,Gordon & MacPhail,1970,41 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$700 ,Single Malt Scotch,UK
578,Adelphi,,14 years old,51.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$117 ,Single Malt Scotch,UK
579,The Macallan,,,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$187 ,Single Malt Scotch,UK
580,The Macallan,,12 years old,40.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$65 ,Single Malt Scotch,UK
581,The Macallan,,,48.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$105 ,Single Malt Scotch,UK
582,The Macallan,,,48.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$95 ,Single Malt Scotch,UK
583,Macallan,,,48.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$105 ,Single Malt Scotch,UK
584,Macallan,,12 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$65 ,Single Malt Scotch,UK
585,Adelphi,,25 years old,59.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$157 ,Single Malt Scotch,UK
586,Mortlach,,,43.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$93 ,Single Malt Scotch,UK
587,Mortlach,,,49.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$127 ,Single Malt Scotch,UK
588,Old Pulteney,,18 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$148 ,Single Malt Scotch,UK
589,Port Ellen,1979,28 years old,53.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$300 ,Single Malt Scotch,UK
590,Old Malt Cask,,25 years old,54.70%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$256 ,Single Malt Scotch,UK
591,Signatory,1982,26 years old,54.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$275 ,Single Malt Scotch,UK
592,Duncan Taylor,,13 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$100 ,Single Malt Scotch,UK
593,Springbank,2014,21 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$307 ,Single Malt Scotch,UK
594,Peerless,,35 years old,48.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$160 ,Single Malt Scotch,UK
595,Strathisla,,16 years old,55.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$59 ,Single Malt Scotch,UK
596,Talisker,1992,,45.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$65 ,Single Malt Scotch,UK
597,Talisker,,30 years old,57.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$349 ,Single Malt Scotch,UK
598,Talisker,,10 years old,45.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$50 ,Single Malt Scotch,UK
599,Duncan Taylor,1969,34 years old,40.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$250 ,Single Malt Scotch,UK
600,Tamdhu,,,58.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$88 ,Single Malt Scotch,UK
601,Tomintoul,,33 years old,45.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$230 ,Single Malt Scotch,UK
602,Tomintoul,,25 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$415 ,Single Malt Scotch,UK
603,Tomatin,,30 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$449 ,Single Malt Scotch,UK
604,Scott's Selection,1964,,45.50%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,90,$140 ,Grain Scotch Whisky,UK
605,Cutty Sark,,,50.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,$30 ,Blended Scotch Whisky,UK
606,Cutty Sark,,33 years old,41.70%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,$989 ,Blended Scotch Whisky,UK
607,Port Askaig,,15 years old,45.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$109 ,Single Malt Scotch,UK
608,Port Askaig,,14 years old,45.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$100 ,Single Malt Scotch,UK
609,Kilchoman,2009,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$76 ,Single Malt Scotch,UK
610,Kilchoman,2017,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$100 ,Single Malt Scotch,UK
611,Berry Bros & Rudd,,,56.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$232 ,Single Malt Scotch,UK
612,Glen Moray,,18 years old,47.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$90 ,Single Malt Scotch,UK
613,Glen Moray,,15 years old,40.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$55 ,Single Malt Scotch,UK
614,Fettercairn,,,42.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$59 ,Single Malt Scotch,UK
615,Convalmore,,36 years old,58.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$936 ,Single Malt Scotch,UK
616,Ballantine,,,43.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,$229 ,Blended Scotch Whisky,UK
617,Blue Hanger,,,45.60%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$115 ,Blended Malt Scotch Whisky,UK
618,Clan Denny,,,46.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$45 ,Blended Malt Scotch Whisky,UK
619,Duncan Taylor,,,60.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$85 ,Blended Malt Scotch Whisky,UK
620,Douglas Laing,,,46.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$55 ,Blended Malt Scotch Whisky,UK
621,Big Peat,2014,,55.70%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$70 ,Blended Malt Scotch Whisky,UK
622,William Grant Rare Cask Reserves,,26 years old,42.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$399 ,Blended Malt Scotch Whisky,UK
623,Chapter 7,,,55.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$180 ,Single Malt Scotch,UK
624,That Boutique-y Whisky Company,,50 years old,46.60%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,$200 ,Blended Scotch Whisky,UK
625,That Boutique-y Whisky Company,,27 years old,56.30%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,90,$51 ,Grain Scotch Whisky,UK
626,Shieldaig,,18 years old,40.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$47 ,Single Malt Scotch,UK
627,Shieldaig,,14 years old,40.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$60 ,Single Malt Scotch,UK
628,Royal Salute,,21 years old,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,$140 ,Blended Scotch Whisky,UK
629,Douglas Laing,,10 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$104 ,Single Malt Scotch,UK
630,Douglas Laing,,17 years old,48.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$117 ,Single Malt Scotch,UK
631,Douglas Laing,,22 years old,51.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$127 ,Single Malt Scotch,UK
632,Douglas Laing,,40 years old,55.40%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,90,$390 ,Grain Scotch Whisky,UK
633,Scallywag,,,53.60%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$76 ,Blended Malt Scotch Whisky,UK
634,The Exclusive Malts,,20 years old,56.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$160 ,Single Malt Scotch,UK
635,Exclusive Malts,,21 years old,50.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$160 ,Single Malt Scotch,UK
636,Exclusive Malts,2006,11 years old,58.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$100 ,Single Malt Scotch,UK
637,Craigellachie,,13 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$53 ,Single Malt Scotch,UK
638,Gordon & MacPhail,,,40.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,"$2,020 ",Single Malt Scotch,UK
639,Gordon & MacPhail,,,48.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$698 ,Single Malt Scotch,UK
640,Glen Deveron,,30 years old,40.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$422 ,Single Malt Scotch,UK
641,The Tweeddale,,,52.20%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$190 ,Blended Malt Scotch Whisky,UK
642,Adelphi,,26 years old,58.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$295 ,Single Malt Scotch,UK
643,Kirkland,,18 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$54 ,Single Malt Scotch,UK
644,The Lost Distillery Company,,,50.90%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,$587 ,Blended Scotch Whisky,UK
645,Port Dundas,2017,52 years old,44.60%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,90,$900 ,Single Grain Whisky,UK
646,Scotch Malt Whisky Society,,12 years old,57.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$130 ,Single Malt Scotch,UK
647,The Pearls of Scotland,,,43.40%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$246 ,Blended Malt Scotch Whisky,UK
648,SIA,,,43.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,$50 ,Blended Scotch Whisky,UK
649,Timorous Beastie,,18 years old,46.80%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$108 ,Blended Malt Scotch Whisky,UK
650,The Lost Distillery Company,,,43.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$43 ,Blended Malt Scotch Whisky,UK
651,Duncan Taylor,,19 years old,53.30%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$150 ,Blended Malt Scotch Whisky,UK
652,The Sovereign,,50 years old,43.80%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,90,$453 ,Single Grain Whisky,UK
653,Pittyvaich,,28 years old,52.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$419 ,Single Malt Scotch,UK
654,Caledonian ,,40 years old,53.30%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,90,"$1,200 ",Single Grain Whisky,UK
655,Port Charlotte,,7 years old,63.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$120 ,Single Malt Scotch,UK
656,Port Charlotte,,,50.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$70 ,Single Malt Scotch,UK
657,Jura,1977,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$900 ,Single Malt Scotch,UK
658,Jura,,18 years old,52.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$166 ,Single Malt Scotch,UK
659,Bruichladdich,,,57.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$235 ,Single Malt Scotch,UK
660,Bruichladdich,,,61.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$165 ,Single Malt Scotch,UK
661,Octomore,,,62.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$230 ,Single Malt Scotch,UK
662,anCnoc,,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$65 ,Single Malt Scotch,UK
663,Alexander Murray & Co.,,30 years old,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,$140 ,Blended Scotch Whisky,UK
664,Shackleton,,,40.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$35 ,Blended Malt Scotch Whisky,UK
666,Mossburn,,,46.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,$40 ,Blended Malt Scotch Whisky,UK
667,House of Hazelwood,,25 years old,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,$150 ,Blended Scotch Whisky,UK
668,Trader Joe's,2001,16 years old,40.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,$40 ,Single Malt Scotch,UK
669,Murray McDavid,2003,13 years old,46.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,$55 ,Blended Scotch Whisky,UK
670,The Exclusive Malts,,30 years old,52.30%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,89,$220 ,Single Grain Whisky,UK
671,Compass Box,,,57.30%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$188 ,Blended Scotch Whisky,UK
672,Compass Box,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$60 ,Blended Scotch Whisky,UK
673,Naked Grouse,,,43.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,89,$35 ,Blended Malt Scotch Whisky,UK
674,The Famous Grouse,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$30 ,Blended Scotch Whisky,UK
675,The Famous Grouse,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$35 ,Blended Scotch Whisky,UK
676,The Famous Grouse,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$35 ,Blended Scotch Whisky,UK
677,The Famous Grouse,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$35 ,Blended Scotch Whisky,UK
678,Johnnie Walker,,,43.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,89,$55 ,Blended Malt Scotch Whisky,UK
679,Johnnie Walker,,,46.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$45 ,Blended Scotch Whisky,UK
681,Chivas,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$50 ,Blended Scotch Whisky,UK
682,Dewar,,12 years old,43.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$32 ,Blended Scotch Whisky,UK
683,Dewar,,12 years old,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$33 ,Blended Scotch Whisky,UK
684,Classic Cask,,23 years old,43.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,$160 ,Blended Scotch Whisky,UK
685,Signatory,1990,20 years old,56.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$110 ,Single Malt Scotch,UK
686,Aberlour,,,60.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$100 ,Single Malt Scotch,UK
687,Ardbeg,,,58.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$130 ,Single Malt Scotch,UK
688,Ardbeg,,,57.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$85 ,Single Malt Scotch,UK
689,Ardbeg,,,56.70%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$90 ,Single Malt Scotch,UK
690,Ar4 Elements of Islay,,,58.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$151 ,Single Malt Scotch,UK
691,Ardbeg,,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$191 ,Single Malt Scotch,UK
692,Ardbeg,,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$500 ,Single Malt Scotch,UK
693,Ardbeg,,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$110 ,Single Malt Scotch,UK
694,Double Barrel,,,46.00%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,89,$78 ,Blended Malt Scotch Whisky,UK
695,Arran,,,53.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$130 ,Single Malt Scotch,UK
696,Arran,,,53.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$108 ,Single Malt Scotch,UK
697,Arran,,17 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$120 ,Single Malt Scotch,UK
698,Arran,,,53.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$130 ,Single Malt Scotch,UK
699,Arran,,18 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$100 ,Single Malt Scotch,UK
700,Arran,,,50.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$70 ,Single Malt Scotch,UK
701,Auchentoshan,,,50.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$550 ,Single Malt Scotch,UK
702,Auchentoshan,,,47.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$47 ,Single Malt Scotch,UK
703,Balblair,2000,,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$55 ,Single Malt Scotch,UK
704,Balblair,1969,,41.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,"$3,500 ",Single Malt Scotch,UK
705,Balblair,1990,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$150 ,Single Malt Scotch,UK
706,The Balvenie,,14 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$60 ,Single Malt Scotch,UK
707,BenRiach,,21 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$170 ,Single Malt Scotch,UK
708,BenRiach,,15 years old,50.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$87 ,Single Malt Scotch,UK
709,BenRiach,,,57.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$86 ,Single Malt Scotch,UK
710,BenRiach,,22 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$180 ,Single Malt Scotch,UK
711,BenRiach,,21 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$174 ,Single Malt Scotch,UK
712,BenRiach,,,60.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$95 ,Single Malt Scotch,UK
713,Gordon & MacPhail,1991,13 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$70 ,Single Malt Scotch,UK
714,Bowmore,1964,,49.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,"$1,500 ",Single Malt Scotch,UK
715,Bowmore,,,56.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$120 ,Single Malt Scotch,UK
716,Bowmore,,,56.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$90 ,Single Malt Scotch,UK
717,Blackadder,,27 years old,50.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$160 ,Single Malt Scotch,UK
718,Cadenhead,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$125 ,Single Malt Scotch,UK
719,Wemyss,,,57.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$180 ,Single Malt Scotch,UK
720,Scott's Selection,1990,14 years old,58.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$110 ,Single Malt Scotch,UK
721,Bruichladdich,,23 years old,49.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$322 ,Single Malt Scotch,UK
722,Bruichladdich,2008,,50.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$83 ,Single Malt Scotch,UK
723,Bruichladdich,,,50.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$66 ,Single Malt Scotch,UK
724,Bruichladdich,,,50.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$55 ,Single Malt Scotch,UK
725,Duncan Taylor,,39 years old,40.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$420 ,Single Malt Scotch,UK
726,Bunnahabhain,,12 years old,46.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$53 ,Single Malt Scotch,UK
727,Bunnahabhain,2003,,54.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$112 ,Single Malt Scotch,UK
728,Bunnahabhain,2008,,58.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$95 ,Single Malt Scotch,UK
729,Mackillop,1990,15 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$75 ,Single Malt Scotch,UK
730,Signatory,,,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$45 ,Single Malt Scotch,UK
731,Gordon & MacPhail,1991,14 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$75 ,Single Malt Scotch,UK
732,Douglas of Drumlanrig,1985,25 years old,53.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$150 ,Single Malt Scotch,UK
733,Caol Ila,,12 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$65 ,Single Malt Scotch,UK
734,Caol Ila,,,59.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$110 ,Single Malt Scotch,UK
735,Caol Ila,2015,17 years old,55.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$140 ,Single Malt Scotch,UK
736,Clynelish,,,51.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$60 ,Single Malt Scotch,UK
737,Cragganmore,,,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$67 ,Single Malt Scotch,UK
738,Cragganmore,,,55.70%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$600 ,Single Malt Scotch,UK
739,Cadenhead,,,59.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$115 ,Single Malt Scotch,UK
740,The Dalmore,,38 years old,48.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,"$17,600 ",Single Malt Scotch,UK
741,The Dalmore,1990,20 years old,57.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,"$3,600 ",Single Malt Scotch,UK
742,Dalmore,,,46.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$100 ,Single Malt Scotch,UK
743,Dalmore,,18 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$230 ,Single Malt Scotch,UK
744,Glen Elgin,2017,18 years old,54.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$340 ,Single Malt Scotch,UK
745,Peerless,1970,,46.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$160 ,Single Malt Scotch,UK
746,Glen Grant,,15 years old,50.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$77 ,Single Malt Scotch,UK
747,Glen Scotia,,21 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$145 ,Single Malt Scotch,UK
748,Duncan Taylor,1974,30 years old,42.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$245 ,Single Malt Scotch,UK
749,GlenDronach,,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$97 ,Single Malt Scotch,UK
750,Glenfarclas,1955,50 years old,44.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,"$6,000 ",Single Malt Scotch,UK
751,Glenfarclas,,,56.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$329 ,Single Malt Scotch,UK
752,Glenfarclas,,,57.20%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,"$1,052 ",Single Malt Scotch,UK
753,Glenfarclas,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$130 ,Single Malt Scotch,UK
754,Glenfiddich,,21 years old,40.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$120 ,Single Malt Scotch,UK
755,Glenfiddich,,,48.80%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$99 ,Single Malt Scotch,UK
756,Glengarioch,,21 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$110 ,Single Malt Scotch,UK
757,Glen Garioch,,,54.70%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$100 ,Single Malt Scotch,UK
758,Glen Garioch,,13 years old,55.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$100 ,Single Malt Scotch,UK
759,Glen Garioch,1999,,56.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$98 ,Single Malt Scotch,UK
760,Glenglassaugh,,41 years old,44.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,"$1,087 ",Single Malt Scotch,UK
761,Glengoyne,,26 years old,54.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$557 ,Single Malt Scotch,UK
762,Glenkinchie,,20 years old,55.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$189 ,Single Malt Scotch,UK
763,The Glenlivet,1983,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$200 ,Single Malt Scotch,UK
764,Scott's Selection,1977,27 years old,53.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$165 ,Single Malt Scotch,UK
765,The Glenlivet,,21 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,$130 ,Single Malt Scotch,UK
